Date,Estimate,Stage,Historical Range
27-Sep,2782 est,Blacklayer,2451-3209
28-Sep,2793 est,Blacklayer,2458-3225
29-Sep,2804 est,Blacklayer,2465-3238
30-Sep,2815 est,Blacklayer,2472-3254
1-Oct,2827 est,Blacklayer,2476-3269
2-Oct,2839 est,Blacklayer,2476-3278
3-Oct,2848 est,Blacklayer,2477-3284
4-Oct,2857 est,Blacklayer,2481-3291
5-Oct,2866 est,Blacklayer,2487-3293
6-Oct,2876 est,Blacklayer,2492-3295
7-Oct,2885 est,Blacklayer,2499-3300
8-Oct,2895 est,Blacklayer,2499-3305
9-Oct,2902 est,Blacklayer,2499-3309
10-Oct,2909 est,Blacklayer,2499-3318
11-Oct,2916 est,Blacklayer,2499-3326
12-Oct,2924 est,Blacklayer,2499-3330
13-Oct,2931 est,Blacklayer,2499-3334
14-Oct,2938 est,Blacklayer,2499-3342
15-Oct,2945 est,Blacklayer,2499-3353
16-Oct,2953 est,Blacklayer,2499-3365
17-Oct,2959 est,Blacklayer,2499-3374
18-Oct,2966 est,Blacklayer,2503-3379
19-Oct,2971 est,Blacklayer,2511-3382
20-Oct,2975 est,Blacklayer,2520-3383
21-Oct,2981 est,Blacklayer,2530-3383
22-Oct,2986 est,Blacklayer,2530-3385
23-Oct,2990 est,Blacklayer,2530-3386
24-Oct,2996 est,Blacklayer,2533-3386
25-Oct,3000 est,Blacklayer,2536-3386
26-Oct,3005 est,Blacklayer,2537-3388
27-Oct,3009 est,Blacklayer,2539-3389
28-Oct,3014 est,Blacklayer,2542-3390
29-Oct,3018 est,Blacklayer,2548-3390
30-Oct,3023 est,Blacklayer,2552-3390
31-Oct,3028 est,Blacklayer,2553-3390
1-Nov,3031 est,Blacklayer,2560-3396
2-Nov,3035 est,Blacklayer,2562-3398
3-Nov,3038 est,Blacklayer,2562-3401
4-Nov,3041 est,Blacklayer,2562-3407
5-Nov,3044 est,Blacklayer,2565-3409
6-Nov,3046 est,Blacklayer,2574-3409
7-Nov,3048 est,Blacklayer,2584-3409
8-Nov,3052 est,Blacklayer,2596-3409
9-Nov,3055 est,Blacklayer,2601-3410
10-Nov,3057 est,Blacklayer,2606-3410
11-Nov,3059 est,Blacklayer,2610-3410
12-Nov,3061 est,Blacklayer,2612-3410
13-Nov,3062 est,Blacklayer,2614-3410
14-Nov,3064 est,Blacklayer,2614-3413
15-Nov,3066 est,Blacklayer,2614-3417
16-Nov,3067 est,Blacklayer,2614-3425
17-Nov,3068 est,Blacklayer,2614-3425
18-Nov,3069 est,Blacklayer,2614-3425
19-Nov,3071 est,Blacklayer,2614-3425
20-Nov,3072 est,Blacklayer,2615-3425
21-Nov,3073 est,Blacklayer,2616-3425
22-Nov,3074 est,Blacklayer,2618-3425
23-Nov,3075 est,Blacklayer,2621-3425
24-Nov,3076 est,Blacklayer,2621-3429
25-Nov,3076 est,Blacklayer,2621-3432
26-Nov,3077 est,Blacklayer,2621-3432
27-Nov,3078 est,Blacklayer,2621-3432
28-Nov,3078 est,Blacklayer,2623-3432
29-Nov,3079 est,Blacklayer,2623-3432
30-Nov,3079 est,Blacklayer,2623-3432
1-Dec,3079 est,Blacklayer,2628-3432
2-Dec,3080 est,Blacklayer,2628-3432
3-Dec,3081 est,Blacklayer,2628-3434
4-Dec,3081 est,Blacklayer,2628-3434
5-Dec,3082 est,Blacklayer,2628-3434
6-Dec,3082 est,Blacklayer,2628-3434
7-Dec,3082 est,Blacklayer,2628-3434
8-Dec,3082 est,Blacklayer,2628-3434
9-Dec,3082 est,Blacklayer,2628-3434
10-Dec,3082 est,Blacklayer,2628-3434
11-Dec,3082 est,Blacklayer,2628-3434
12-Dec,3082 est,Blacklayer,2628-3434
13-Dec,3082 est,Blacklayer,2628-3434
14-Dec,3082 est,Blacklayer,2628-3434
15-Dec,3083 est,Blacklayer,2628-3434
16-Dec,3083 est,Blacklayer,2628-3434
17-Dec,3083 est,Blacklayer,2628-3434
18-Dec,3083 est,Blacklayer,2628-3434
19-Dec,3083 est,Blacklayer,2628-3434
20-Dec,3083 est,Blacklayer,2628-3435
21-Dec,3083 est,Blacklayer,2628-3435
22-Dec,3083 est,Blacklayer,2628-3435
23-Dec,3083 est,Blacklayer,2628-3435
24-Dec,3083 est,Blacklayer,2628-3435
25-Dec,3083 est,Blacklayer,2628-3435
26-Dec,3083 est,Blacklayer,2628-3435
27-Dec,3083 est,Blacklayer,2628-3435
28-Dec,3083 est,Blacklayer,2628-3435
29-Dec,3083 est,Blacklayer,2628-3435
30-Dec,3084 est,Blacklayer,2628-3435
31-Dec,3084 est,Blacklayer,
