"name","fieldID","dayTill","Imaging-Date"
"2117-NEFF SYRACUSE","368","0","2015-05-13"
"2105-MORGAN","372","0","2015-05-13"
"2092-BAILEY WEST","388","0","2015-05-13"
"2096-WILLIAMS","391","0","2015-05-13"
"3208-STOOKEY","395","0","2015-05-13"
"3250-BAILEY HOME","396","0","2015-05-13"
"2109-FISHER GRAVEL PIT","397","0","2015-05-13"
"2084-SMITH","433","0","2015-05-13"
"3218-BAUM","438","0","2015-05-13"
"2110-FISHER SYRACUSE","446","0","2015-05-13"
"2098-AIRPORT NORTH","462","0","2015-05-13"
"3249-POLK WEBSTER","479","0","2015-05-13"
"2095-AIRPORT WILLIAMS","489","0","2015-05-13"
"2084S-DEETER","497","0","2015-05-13"
"2108-FISHER DEWART LAKE","448","2","2015-05-15"
"2087-TOM N","385","3","2015-05-16"
"2101-FISHER CLAY","366","5","2015-05-18"
"2131-BURBRINK","365","6","2015-05-19"
"2124-FISHER DL WEST","379","6","2015-05-19"
"2100-FISHER MUCK","477","6","2015-05-19"
"2132-ROWLAND","491","6","2015-05-19"
"2120-POLK VANDERMARK","356","7","2015-05-20"
"2091-BAILEY","363","7","2015-05-20"
"2118-BENDINA NORTH","392","7","2015-05-20"
"2128-MARTINWOOD","405","7","2015-05-20"
"2099-MARTIN DUTCHTOWN","452","7","2015-05-20"
"2127-MARTINWOOD","357","8","2015-05-21"
"2082-NUSSBAUM","414","8","2015-05-21"
