"Field Name","Field ID","Plant Date","Days from Plant to Imaging Period","Days from Current Day until Imaging event","Predicted Date of Imaing Event","Imaging Event Name"
"Rogers-TX","226","2015-03-28","33","0","2015-04-30","Stand Count"
"Jones-LA","227","2015-03-30","31","0","2015-04-30","Stand Count"
"Danevang-TX","228","2015-04-07","23","0","2015-04-30","Stand Count"
"Marianna-AR","307","2015-03-31","30","0","2015-04-30","Stand Count"
"Risco-MO","310","2015-04-11","19","0","2015-04-30","Stand Count"
"Springfield-IL","283","2015-04-14","23","7","2015-05-07","Stand Count"
"WamegoIRR-KS","271","2015-04-15","23","8","2015-05-08","Stand Count"
"Kilbourne-IL","282","2015-04-15","23","8","2015-05-08","Stand Count"
"Macomb-IL","287","2015-04-16","23","9","2015-05-09","Stand Count"
"WalnutRidge-AR","311","2015-04-23","16","9","2015-05-09","Stand Count"
"Waco-NE","251","2015-04-16","24","10","2015-05-10","Stand Count"
"Richland-IA","277","2015-04-17","25","12","2015-05-12","Stand Count"
"Stanwood-IA","281","2015-04-16","27","13","2015-05-13","Stand Count"
"SiouxCenter-IA","233","2015-04-17","27","14","2015-05-14","Stand Count"
"Dorchester-NE","255","2015-04-22","23","15","2015-05-15","Stand Count"
"CerroGordo-IL","289","2015-04-23","22","15","2015-05-15","Stand Count"
"Blencoe-IA","229","2015-04-27","22","19","2015-05-19","Stand Count"
"Elgin-MN","261","2015-04-17","32","19","2015-05-19","Stand Count"
"Albion","253","2015-04-27","23","20","2015-05-20","Stand Count"
"Worthington-MN","230","2015-04-23","28","21","2015-05-21","Stand Count"
"Sanborn-MN","262","2015-04-27","26","23","2015-05-23","Stand Count"
"Henderson-MN","263","2015-04-23","30","23","2015-05-23","Stand Count"
"","","","","","",""
"Rogers-TX","226","2015-03-28","33","0","2015-04-30","First Vegetative"
"Jones-LA","227","2015-03-30","31","0","2015-04-30","First Vegetative"
"Danevang-TX","228","2015-04-07","23","0","2015-04-30","First Vegetative"
"Marianna-AR","307","2015-03-31","30","0","2015-04-30","First Vegetative"
"Risco-MO","310","2015-04-11","20","1","2015-05-01","First Vegetative"
"WamegoIRR-KS","271","2015-04-15","26","11","2015-05-11","First Vegetative"
"Springfield-IL","283","2015-04-14","27","11","2015-05-11","First Vegetative"
"WalnutRidge-AR","311","2015-04-23","18","11","2015-05-11","First Vegetative"
"Kilbourne-IL","282","2015-04-15","27","12","2015-05-12","First Vegetative"
"Macomb-IL","287","2015-04-16","27","13","2015-05-13","First Vegetative"
"Waco-NE","251","2015-04-16","30","16","2015-05-16","First Vegetative"
"Richland-IA","277","2015-04-17","30","17","2015-05-17","First Vegetative"
"SiouxCenter-IA","233","2015-04-17","31","18","2015-05-18","First Vegetative"
"Stanwood-IA","281","2015-04-16","32","18","2015-05-18","First Vegetative"
"Dorchester-NE","255","2015-04-22","28","20","2015-05-20","First Vegetative"
"CerroGordo-IL","289","2015-04-23","27","20","2015-05-20","First Vegetative"
"Blencoe-IA","229","2015-04-27","26","23","2015-05-23","First Vegetative"
"Elgin-MN","261","2015-04-17","36","23","2015-05-23","First Vegetative"
"Albion","253","2015-04-27","27","24","2015-05-24","First Vegetative"
