"Field Name","Field ID","Plant Date","Days from Plant to Imaging Period","Days from Current Day until Imaging event","Predicted Date of Imaing Event","Imaging Event Name"
"Worthington-MN","230","2015-04-23","32","25","2015-05-25","First Vegetative"
"Sanborn-MN","262","2015-04-27","30","27","2015-05-27","First Vegetative"
"Henderson-MN","263","2015-04-23","34","27","2015-05-27","First Vegetative"
"","","","","","",""
"Rogers-TX","226","2015-03-28","33","0","2015-04-30","Second Vegetative"
"Jones-LA","227","2015-03-30","31","0","2015-04-30","Second Vegetative"
"Danevang-TX","228","2015-04-07","23","0","2015-04-30","Second Vegetative"
"Marianna-AR","307","2015-03-31","31","1","2015-05-01","Second Vegetative"
"Risco-MO","310","2015-04-11","33","14","2015-05-14","Second Vegetative"
"WalnutRidge-AR","311","2015-04-23","31","24","2015-05-24","Second Vegetative"
"Springfield-IL","283","2015-04-14","42","26","2015-05-26","Second Vegetative"
"WamegoIRR-KS","271","2015-04-15","42","27","2015-05-27","Second Vegetative"
"Kilbourne-IL","282","2015-04-15","43","28","2015-05-28","Second Vegetative"
"Macomb-IL","287","2015-04-16","43","29","2015-05-29","Second Vegetative"
"Waco-NE","251","2015-04-16","44","30","2015-05-30","Second Vegetative"
"Richland-IA","277","2015-04-17","44","31","2015-05-31","Second Vegetative"
"Stanwood-IA","281","2015-04-16","45","31","2015-05-31","Second Vegetative"
"CerroGordo-IL","289","2015-04-23","38","31","2015-05-31","Second Vegetative"
"SiouxCenter-IA","233","2015-04-17","46","33","2015-06-02","Second Vegetative"
"Dorchester-NE","255","2015-04-22","41","33","2015-06-02","Second Vegetative"
"Blencoe-IA","229","2015-04-27","39","36","2015-06-05","Second Vegetative"
"Albion","253","2015-04-27","40","37","2015-06-06","Second Vegetative"
"Elgin-MN","261","2015-04-17","51","38","2015-06-07","Second Vegetative"
"Worthington-MN","230","2015-04-23","47","40","2015-06-09","Second Vegetative"
"Henderson-MN","263","2015-04-23","48","41","2015-06-10","Second Vegetative"
"Sanborn-MN","262","2015-04-27","45","42","2015-06-11","Second Vegetative"
"","","","","","",""
"Rogers-TX","226","2015-03-28","38","5","2015-05-05","Third Vegetative"
"Danevang-TX","228","2015-04-07","32","9","2015-05-09","Third Vegetative"
"Jones-LA","227","2015-03-30","43","12","2015-05-12","Third Vegetative"
"Marianna-AR","307","2015-03-31","47","17","2015-05-17","Third Vegetative"
"Risco-MO","310","2015-04-11","48","29","2015-05-29","Third Vegetative"
"WalnutRidge-AR","311","2015-04-23","43","36","2015-06-05","Third Vegetative"
"Springfield-IL","283","2015-04-14","56","40","2015-06-09","Third Vegetative"
"WamegoIRR-KS","271","2015-04-15","56","41","2015-06-10","Third Vegetative"
"Kilbourne-IL","282","2015-04-15","57","42","2015-06-11","Third Vegetative"
"Macomb-IL","287","2015-04-16","57","43","2015-06-12","Third Vegetative"
"CerroGordo-IL","289","2015-04-23","52","45","2015-06-14","Third Vegetative"
"Waco-NE","251","2015-04-16","60","46","2015-06-15","Third Vegetative"
"Dorchester-NE","255","2015-04-22","55","47","2015-06-16","Third Vegetative"
"Richland-IA","277","2015-04-17","60","47","2015-06-16","Third Vegetative"
"Stanwood-IA","281","2015-04-16","61","47","2015-06-16","Third Vegetative"
"SiouxCenter-IA","233","2015-04-17","63","50","2015-06-19","Third Vegetative"
"Blencoe-IA","229","2015-04-27","54","51","2015-06-20","Third Vegetative"
"Albion","253","2015-04-27","55","52","2015-06-21","Third Vegetative"
"Elgin-MN","261","2015-04-17","68","55","2015-06-24","Third Vegetative"
"Worthington-MN","230","2015-04-23","64","57","2015-06-26","Third Vegetative"
"Sanborn-MN","262","2015-04-27","61","58","2015-06-27","Third Vegetative"
"Henderson-MN","263","2015-04-23","65","58","2015-06-27","Third Vegetative"
"","","","","","",""
"Rogers-TX","226","2015-03-28","49","16","2015-05-16","Fourth Vegetative"
"Danevang-TX","228","2015-04-07","42","19","2015-05-19","Fourth Vegetative"
"Jones-LA","227","2015-03-30","55","24","2015-05-24","Fourth Vegetative"
"Marianna-AR","307","2015-03-31","58","28","2015-05-28","Fourth Vegetative"
"Risco-MO","310","2015-04-11","57","38","2015-06-07","Fourth Vegetative"
"WalnutRidge-AR","311","2015-04-23","52","45","2015-06-14","Fourth Vegetative"
"WamegoIRR-KS","271","2015-04-15","66","51","2015-06-20","Fourth Vegetative"
"Springfield-IL","283","2015-04-14","67","51","2015-06-20","Fourth Vegetative"
"Kilbourne-IL","282","2015-04-15","68","53","2015-06-22","Fourth Vegetative"
"Macomb-IL","287","2015-04-16","68","54","2015-06-23","Fourth Vegetative"
"CerroGordo-IL","289","2015-04-23","62","55","2015-06-24","Fourth Vegetative"
"Waco-NE","251","2015-04-16","71","57","2015-06-26","Fourth Vegetative"
"Richland-IA","277","2015-04-17","70","57","2015-06-26","Fourth Vegetative"
"Dorchester-NE","255","2015-04-22","66","58","2015-06-27","Fourth Vegetative"
"Stanwood-IA","281","2015-04-16","72","58","2015-06-27","Fourth Vegetative"
"Blencoe-IA","229","2015-04-27","64","61","2015-06-30","Fourth Vegetative"
"SiouxCenter-IA","233","2015-04-17","74","61","2015-06-30","Fourth Vegetative"
"Albion","253","2015-04-27","66","63","2015-07-02","Fourth Vegetative"
"Elgin-MN","261","2015-04-17","80","67","2015-07-06","Fourth Vegetative"
"Worthington-MN","230","2015-04-23","75","68","2015-07-07","Fourth Vegetative"
"Sanborn-MN","262","2015-04-27","72","69","2015-07-08","Fourth Vegetative"
"Henderson-MN","263","2015-04-23","76","69","2015-07-08","Fourth Vegetative"
"","","","","","",""
"Rogers-TX","226","2015-03-28","55","22","2015-05-22","Fifth Vegetative"
"Danevang-TX","228","2015-04-07","48","25","2015-05-25","Fifth Vegetative"
"Jones-LA","227","2015-03-30","60","29","2015-05-29","Fifth Vegetative"
"Marianna-AR","307","2015-03-31","64","34","2015-06-03","Fifth Vegetative"
"Risco-MO","310","2015-04-11","63","44","2015-06-13","Fifth Vegetative"
"WalnutRidge-AR","311","2015-04-23","58","51","2015-06-20","Fifth Vegetative"
"WamegoIRR-KS","271","2015-04-15","72","57","2015-06-26","Fifth Vegetative"
"Springfield-IL","283","2015-04-14","73","57","2015-06-26","Fifth Vegetative"
"Kilbourne-IL","282","2015-04-15","74","59","2015-06-28","Fifth Vegetative"
"Macomb-IL","287","2015-04-16","74","60","2015-06-29","Fifth Vegetative"
"CerroGordo-IL","289","2015-04-23","68","61","2015-06-30","Fifth Vegetative"
"Waco-NE","251","2015-04-16","77","63","2015-07-02","Fifth Vegetative"
"Richland-IA","277","2015-04-17","76","63","2015-07-02","Fifth Vegetative"
"Dorchester-NE","255","2015-04-22","72","64","2015-07-03","Fifth Vegetative"
"Stanwood-IA","281","2015-04-16","79","65","2015-07-04","Fifth Vegetative"
"SiouxCenter-IA","233","2015-04-17","80","67","2015-07-06","Fifth Vegetative"
"Blencoe-IA","229","2015-04-27","71","68","2015-07-07","Fifth Vegetative"
"Albion","253","2015-04-27","72","69","2015-07-08","Fifth Vegetative"
"Elgin-MN","261","2015-04-17","86","73","2015-07-12","Fifth Vegetative"
"Worthington-MN","230","2015-04-23","81","74","2015-07-13","Fifth Vegetative"
"Sanborn-MN","262","2015-04-27","78","75","2015-07-14","Fifth Vegetative"
"Henderson-MN","263","2015-04-23","82","75","2015-07-14","Fifth Vegetative"
"","","","","","",""
"Rogers-TX","226","2015-03-28","70","37","2015-06-06","Reproductive"
"Danevang-TX","228","2015-04-07","62","39","2015-06-08","Reproductive"
"Jones-LA","227","2015-03-30","75","44","2015-06-13","Reproductive"
"Marianna-AR","307","2015-03-31","78","48","2015-06-17","Reproductive"
"Risco-MO","310","2015-04-11","77","58","2015-06-27","Reproductive"
"WalnutRidge-AR","311","2015-04-23","72","65","2015-07-04","Reproductive"
"Springfield-IL","283","2015-04-14","88","72","2015-07-11","Reproductive"
"WamegoIRR-KS","271","2015-04-15","88","73","2015-07-12","Reproductive"
"Kilbourne-IL","282","2015-04-15","90","75","2015-07-14","Reproductive"
"Macomb-IL","287","2015-04-16","90","76","2015-07-15","Reproductive"
"CerroGordo-IL","289","2015-04-23","84","77","2015-07-16","Reproductive"
"Waco-NE","251","2015-04-16","92","78","2015-07-17","Reproductive"
"Dorchester-NE","255","2015-04-22","87","79","2015-07-18","Reproductive"
"Richland-IA","277","2015-04-17","92","79","2015-07-18","Reproductive"
"Stanwood-IA","281","2015-04-16","95","81","2015-07-20","Reproductive"
"Blencoe-IA","229","2015-04-27","86","83","2015-07-22","Reproductive"
"SiouxCenter-IA","233","2015-04-17","96","83","2015-07-22","Reproductive"
"Albion","253","2015-04-27","88","85","2015-07-24","Reproductive"
"Elgin-MN","261","2015-04-17","103","90","2015-07-29","Reproductive"
"Worthington-MN","230","2015-04-23","98","91","2015-07-30","Reproductive"
"Henderson-MN","263","2015-04-23","99","92","2015-07-31","Reproductive"
"Sanborn-MN","262","2015-04-27","96","93","2015-08-01","Reproductive"
"","","","","","",""
