"name","fieldID","dayTill","Imaging-Date"
"Springfield-IL","283","22","2015-06-15"
"Trenton-IL","285","23","2015-06-16"
"FtBranch-IN","293","23","2015-06-16"
"Kilbourne-IL","282","24","2015-06-17"
"Shipman-IL","290","24","2015-06-17"
"BowlingGreen-MO","272","25","2015-06-18"
"Macomb-IL","287","25","2015-06-18"
"CerroGordo-IL","289","25","2015-06-18"
"Effingham-IL","286","26","2015-06-19"
"Perrysville-IN","294","26","2015-06-19"
"K-State West","331","26","2015-06-19"
"K State West","333","26","2015-06-19"
"Drew House","334","26","2015-06-19"
"Philo-IL","284","27","2015-06-20"
"Austin-IN","297","27","2015-06-20"
"Franklin-IN","304","27","2015-06-20"
"Field 1 ","326","27","2015-06-20"
"Patterson Ranch- South Bottom","336","27","2015-06-20"
"Farmersburg-IN","296","28","2015-06-21"
"3249-POLK WEBSTER","479","28","2015-06-21"
"Hiawatha-KS","273","29","2015-06-22"
"Richland-IA","277","29","2015-06-22"
"2092-BAILEY WEST","388","29","2015-06-22"
"3208-STOOKEY","395","29","2015-06-22"
"3250-BAILEY HOME","396","29","2015-06-22"
"3218-BAUM","438","29","2015-06-22"
"Waco-NE","251","30","2015-06-23"
"Stanwood-IA","281","30","2015-06-23"
"Dorchester-NE","255","31","2015-06-24"
"Demotte-IN","300","31","2015-06-24"
"2132-ROWLAND","491","31","2015-06-24"
"Pella-IA","278","32","2015-06-25"
"2091-BAILEY","363","32","2015-06-25"
"2131-BURBRINK","365","32","2015-06-25"
"South Corn","580","32","2015-06-25"
"North Field","579","33","2015-06-26"
"Holdrege-NE","219","34","2015-06-27"
"Blencoe-IA","229","34","2015-06-27"
"Aurora","256","34","2015-06-27"
"NorthBend","258","34","2015-06-27"
"SiouxCenter-IA","233","35","2015-06-28"
"Albion","253","35","2015-06-28"
"Platteville-WI","224","36","2015-06-29"
"Wakefield","249","36","2015-06-29"
"Arcadia-IA","274","36","2015-06-29"
"House","327","36","2015-06-29"
"Westcott/Rebuhn","586","36","2015-06-29"
"Janesville-WI","223","37","2015-06-30"
"Plainview","259","37","2015-06-30"
"Spider Ag Cover Crop/Quick Roots Trial","332","37","2015-06-30"
"Humboldt Farm","354","37","2015-06-30"
"Peterson","585","37","2015-06-30"
"Lone Tree 9","587","37","2015-06-30"
"Vincent-IA","234","38","2015-07-01"
"Creston-IA","279","38","2015-07-01"
"Osco-IL","288","38","2015-07-01"
"Home Place","338","38","2015-07-01"
"The 80","339","38","2015-07-01"
"Kennings","341","38","2015-07-01"
"Hoover/Wagner North","584","38","2015-07-01"
"North Platte-NE","220","39","2015-07-02"
"Elgin-MN","261","39","2015-07-02"
"Truman-MN","268","39","2015-07-02"
"K-State East","330","39","2015-07-02"
"Kings","344","39","2015-07-02"
"Pitts 5","582","39","2015-07-02"
"Pitts 5","583","39","2015-07-02"
"Hartje NE","588","39","2015-07-02"
"Hartje NW","589","39","2015-07-02"
"Hartje West","590","39","2015-07-02"
"Worthington-MN","230","40","2015-07-03"
"Mitchell-SD","232","40","2015-07-03"
"Sanborn-MN","262","40","2015-07-03"
"Lafayette-IN","301","40","2015-07-03"
"Henderson-MN","263","41","2015-07-04"
"Hayfield-MN","265","41","2015-07-04"
"Pocahontas-IA","237","42","2015-07-05"
"BeaverDam-WI","225","43","2015-07-06"
"Britt-IA","236","43","2015-07-06"
"Danube-MN","264","43","2015-07-06"
"CharlesCity-IA","275","43","2015-07-06"
"Manchester-IA","280","43","2015-07-06"
"TroyGrove-IL","291","43","2015-07-06"
"Precision Ag - Innovation","320","43","2015-07-06"
"Agronomy - SW3","323","43","2015-07-06"
"Across from Bins","569","43","2015-07-06"
"Across Road from Bins","570","43","2015-07-06"
"Agronomy SW4N","573","43","2015-07-06"
"Agronomy - NE7","578","43","2015-07-06"
"BrownsValley-MN","244","44","2015-07-07"
"Santiago-MN","270","44","2015-07-07"
"Faulkton-SD","312","44","2015-07-07"
"Pierre-SD","317","44","2015-07-07"
"Agronomy - SW1","322","44","2015-07-07"
"Agronomy - SW5","576","44","2015-07-07"
"Menomonie-WI","221","45","2015-07-08"
"FergusFalls-MN","247","45","2015-07-08"
"Holloway-MN","269","45","2015-07-08"
"DeKalb-IL","292","45","2015-07-08"
"Ainsworth-NE","257","46","2015-07-09"
"Westport-MN","260","46","2015-07-09"
"Belgrade-MN","267","46","2015-07-09"
"Almena-WI","222","47","2015-07-10"
"Watertown-SD","231","47","2015-07-10"
"Ulen-MN","245","47","2015-07-10"
"Strasburg-ND","315","48","2015-07-11"
"Agronomy - SW4","321","49","2015-07-12"
