"Field Name","Field ID","Plant Date","Days from Plant to Imaging Period","Days from Current Day until Imaging event","Predicted Date of Imaging Event","Imaging Event Name"
"SiouxCenter-IA","233","2015-04-17","26","0","2015-05-13","Stand Count"
"Waco-NE","251","2015-04-16","27","0","2015-05-13","Stand Count"
"Dorchester-NE","255","2015-04-22","21","0","2015-05-13","Stand Count"
"Elgin-MN","261","2015-04-17","26","0","2015-05-13","Stand Count"
"BowlingGreen-MO","272","2015-04-28","15","0","2015-05-13","Stand Count"
"Richland-IA","277","2015-04-17","26","0","2015-05-13","Stand Count"
"Stanwood-IA","281","2015-04-16","27","0","2015-05-13","Stand Count"
"Kilbourne-IL","282","2015-04-15","28","0","2015-05-13","Stand Count"
"Springfield-IL","283","2015-04-14","29","0","2015-05-13","Stand Count"
"Philo-IL","284","2015-04-30","13","0","2015-05-13","Stand Count"
"Trenton-IL","285","2015-04-29","14","0","2015-05-13","Stand Count"
"Macomb-IL","287","2015-04-16","27","0","2015-05-13","Stand Count"
"CerroGordo-IL","289","2015-04-23","20","0","2015-05-13","Stand Count"
"Shipman-IL","290","2015-04-28","15","0","2015-05-13","Stand Count"
"FtBranch-IN","293","2015-05-01","12","0","2015-05-13","Stand Count"
"Franklin-IN","304","2015-05-04","9","0","2015-05-13","Stand Count"
"Effingham-IL","286","2015-05-05","9","1","2015-05-14","Stand Count"
"Austin-IN","297","2015-05-05","9","1","2015-05-14","Stand Count"
"Pella-IA","278","2015-04-30","15","2","2015-05-15","Stand Count"
"Hiawatha-KS","273","2015-05-01","15","3","2015-05-16","Stand Count"
"Blencoe-IA","229","2015-04-27","20","4","2015-05-17","Stand Count"
"Worthington-MN","230","2015-04-23","24","4","2015-05-17","Stand Count"
"Holdrege-NE","219","2015-04-28","20","5","2015-05-18","Stand Count"
"Albion","253","2015-04-27","21","5","2015-05-18","Stand Count"
"Arcadia-IA","274","2015-04-29","19","5","2015-05-18","Stand Count"
"Farmersburg-IN","296","2015-05-07","11","5","2015-05-18","Stand Count"
"Janesville-WI","223","2015-04-29","20","6","2015-05-19","Stand Count"
"Platteville-WI","224","2015-04-30","19","6","2015-05-19","Stand Count"
"Wakefield","249","2015-04-29","20","6","2015-05-19","Stand Count"
"NorthBend","258","2015-04-30","19","6","2015-05-19","Stand Count"
"Plainview","259","2015-04-29","20","6","2015-05-19","Stand Count"
"Sanborn-MN","262","2015-04-27","22","6","2015-05-19","Stand Count"
"Henderson-MN","263","2015-04-23","26","6","2015-05-19","Stand Count"
"Hayfield-MN","265","2015-04-28","21","6","2015-05-19","Stand Count"
"Truman-MN","268","2015-04-28","21","6","2015-05-19","Stand Count"
"Mitchell-SD","232","2015-05-01","19","7","2015-05-20","Stand Count"
"Vincent-IA","234","2015-05-01","19","7","2015-05-20","Stand Count"
"Aurora","256","2015-05-01","19","7","2015-05-20","Stand Count"
"Menomonie-WI","221","2015-04-30","21","8","2015-05-21","Stand Count"
"BrownsValley-MN","244","2015-04-28","24","9","2015-05-22","Stand Count"
"North Platte-NE","220","2015-05-01","22","10","2015-05-23","Stand Count"
"FergusFalls-MN","247","2015-04-29","24","10","2015-05-23","Stand Count"
"Ulen-MN","245","2015-04-30","24","11","2015-05-24","Stand Count"
"Almena-WI","222","2015-05-05","20","12","2015-05-25","Stand Count"
"BeaverDam-WI","225","2015-05-08","17","12","2015-05-25","Stand Count"
"Creston-IA","279","2015-05-08","17","12","2015-05-25","Stand Count"
"Britt-IA","236","2015-05-09","17","13","2015-05-26","Stand Count"
"Pocahontas-IA","237","2015-05-08","18","13","2015-05-26","Stand Count"
