"Field Name","Field ID","Plant Date","Days from Plant to Imaging Period","Days from Current Day until Imaging event","Predicted Date of Imaging Event","Imaging Event Name"
"Watertown-SD","231","2015-05-05","24","16","2015-05-29","Stand Count"
"","","","","","",""
"2117-NEFF SYRACUSE","368","2015-04-17","26","0","2015-05-13","First Vegetative"
"2105-MORGAN","372","2015-04-15","28","0","2015-05-13","First Vegetative"
"2092-BAILEY WEST","388","2015-04-17","26","0","2015-05-13","First Vegetative"
"2096-WILLIAMS","391","2015-04-16","27","0","2015-05-13","First Vegetative"
"3208-STOOKEY","395","2015-04-17","26","0","2015-05-13","First Vegetative"
"3250-BAILEY HOME","396","2015-04-17","26","0","2015-05-13","First Vegetative"
"2109-FISHER GRAVEL PIT","397","2015-04-17","26","0","2015-05-13","First Vegetative"
"2084-SMITH","433","2015-04-14","29","0","2015-05-13","First Vegetative"
"3218-BAUM","438","2015-04-18","25","0","2015-05-13","First Vegetative"
"2110-FISHER SYRACUSE","446","2015-04-17","26","0","2015-05-13","First Vegetative"
"2098-AIRPORT NORTH","462","2015-04-15","28","0","2015-05-13","First Vegetative"
"3249-POLK WEBSTER","479","2015-04-17","26","0","2015-05-13","First Vegetative"
"2095-AIRPORT WILLIAMS","489","2015-04-15","28","0","2015-05-13","First Vegetative"
"2084S-DEETER","497","2015-04-14","29","0","2015-05-13","First Vegetative"
"2108-FISHER DEWART LAKE","448","2015-04-24","21","2","2015-05-15","First Vegetative"
"2087-TOM N","385","2015-04-27","19","3","2015-05-16","First Vegetative"
"2101-FISHER CLAY","366","2015-04-30","18","5","2015-05-18","First Vegetative"
"2131-BURBRINK","365","2015-05-02","17","6","2015-05-19","First Vegetative"
"2124-FISHER DL WEST","379","2015-05-02","17","6","2015-05-19","First Vegetative"
"2100-FISHER MUCK","477","2015-05-01","18","6","2015-05-19","First Vegetative"
"2132-ROWLAND","491","2015-05-02","17","6","2015-05-19","First Vegetative"
"2120-POLK VANDERMARK","356","2015-05-03","17","7","2015-05-20","First Vegetative"
"2091-BAILEY","363","2015-05-03","17","7","2015-05-20","First Vegetative"
"2118-BENDINA NORTH","392","2015-05-02","18","7","2015-05-20","First Vegetative"
"2128-MARTINWOOD","405","2015-05-03","17","7","2015-05-20","First Vegetative"
"2099-MARTIN DUTCHTOWN","452","2015-05-03","17","7","2015-05-20","First Vegetative"
"2127-MARTINWOOD","357","2015-05-04","17","8","2015-05-21","First Vegetative"
"2082-NUSSBAUM","414","2015-05-04","17","8","2015-05-21","First Vegetative"
"","","","","","",""
"Springfield-IL","283","2015-04-14","52","23","2015-06-05","Third Vegetative"
"Kilbourne-IL","282","2015-04-15","52","24","2015-06-06","Third Vegetative"
"Macomb-IL","287","2015-04-16","53","26","2015-06-08","Third Vegetative"
"FtBranch-IN","293","2015-05-01","38","26","2015-06-08","Third Vegetative"
"Trenton-IL","285","2015-04-29","41","27","2015-06-09","Third Vegetative"
"CerroGordo-IL","289","2015-04-23","48","28","2015-06-10","Third Vegetative"
"Shipman-IL","290","2015-04-28","43","28","2015-06-10","Third Vegetative"
"BowlingGreen-MO","272","2015-04-28","44","29","2015-06-11","Third Vegetative"
"Richland-IA","277","2015-04-17","55","29","2015-06-11","Third Vegetative"
"2084-SMITH","433","2015-04-14","58","29","2015-06-11","Third Vegetative"
"2084S-DEETER","497","2015-04-14","58","29","2015-06-11","Third Vegetative"
"Philo-IL","284","2015-04-30","43","30","2015-06-12","Third Vegetative"
"2105-MORGAN","372","2015-04-15","58","30","2015-06-12","Third Vegetative"
"2096-WILLIAMS","391","2015-04-16","57","30","2015-06-12","Third Vegetative"
"2098-AIRPORT NORTH","462","2015-04-15","58","30","2015-06-12","Third Vegetative"
"2095-AIRPORT WILLIAMS","489","2015-04-15","58","30","2015-06-12","Third Vegetative"
"Waco-NE","251","2015-04-16","58","31","2015-06-13","Third Vegetative"
"Stanwood-IA","281","2015-04-16","58","31","2015-06-13","Third Vegetative"
"Effingham-IL","286","2015-05-05","39","31","2015-06-13","Third Vegetative"
"Austin-IN","297","2015-05-05","39","31","2015-06-13","Third Vegetative"
"Franklin-IN","304","2015-05-04","40","31","2015-06-13","Third Vegetative"
"2117-NEFF SYRACUSE","368","2015-04-17","57","31","2015-06-13","Third Vegetative"
"2092-BAILEY WEST","388","2015-04-17","57","31","2015-06-13","Third Vegetative"
"3208-STOOKEY","395","2015-04-17","57","31","2015-06-13","Third Vegetative"
"3250-BAILEY HOME","396","2015-04-17","57","31","2015-06-13","Third Vegetative"
"2109-FISHER GRAVEL PIT","397","2015-04-17","57","31","2015-06-13","Third Vegetative"
"3218-BAUM","438","2015-04-18","56","31","2015-06-13","Third Vegetative"
"2110-FISHER SYRACUSE","446","2015-04-17","57","31","2015-06-13","Third Vegetative"
"3249-POLK WEBSTER","479","2015-04-17","57","31","2015-06-13","Third Vegetative"
"Farmersburg-IN","296","2015-05-07","38","32","2015-06-14","Third Vegetative"
"Dorchester-NE","255","2015-04-22","54","33","2015-06-15","Third Vegetative"
"Hiawatha-KS","273","2015-05-01","45","33","2015-06-15","Third Vegetative"
"2101-FISHER CLAY","366","2015-04-30","47","34","2015-06-16","Third Vegetative"
"2087-TOM N","385","2015-04-27","50","34","2015-06-16","Third Vegetative"
"2108-FISHER DEWART LAKE","448","2015-04-24","53","34","2015-06-16","Third Vegetative"
"SiouxCenter-IA","233","2015-04-17","61","35","2015-06-17","Third Vegetative"
"Pella-IA","278","2015-04-30","48","35","2015-06-17","Third Vegetative"
"2120-POLK VANDERMARK","356","2015-05-03","45","35","2015-06-17","Third Vegetative"
"2091-BAILEY","363","2015-05-03","45","35","2015-06-17","Third Vegetative"
"2131-BURBRINK","365","2015-05-02","46","35","2015-06-17","Third Vegetative"
"2124-FISHER DL WEST","379","2015-05-02","46","35","2015-06-17","Third Vegetative"
"2118-BENDINA NORTH","392","2015-05-02","46","35","2015-06-17","Third Vegetative"
"2128-MARTINWOOD","405","2015-05-03","45","35","2015-06-17","Third Vegetative"
"2099-MARTIN DUTCHTOWN","452","2015-05-03","45","35","2015-06-17","Third Vegetative"
"2100-FISHER MUCK","477","2015-05-01","47","35","2015-06-17","Third Vegetative"
"2132-ROWLAND","491","2015-05-02","46","35","2015-06-17","Third Vegetative"
"Blencoe-IA","229","2015-04-27","52","36","2015-06-18","Third Vegetative"
"2127-MARTINWOOD","357","2015-05-04","45","36","2015-06-18","Third Vegetative"
"2082-NUSSBAUM","414","2015-05-04","45","36","2015-06-18","Third Vegetative"
"Holdrege-NE","219","2015-04-28","52","37","2015-06-19","Third Vegetative"
"Aurora","256","2015-05-01","49","37","2015-06-19","Third Vegetative"
"NorthBend","258","2015-04-30","50","37","2015-06-19","Third Vegetative"
"Wakefield","249","2015-04-29","52","38","2015-06-20","Third Vegetative"
"Albion","253","2015-04-27","54","38","2015-06-20","Third Vegetative"
"Platteville-WI","224","2015-04-30","52","39","2015-06-21","Third Vegetative"
"Elgin-MN","261","2015-04-17","65","39","2015-06-21","Third Vegetative"
"Arcadia-IA","274","2015-04-29","53","39","2015-06-21","Third Vegetative"
"Janesville-WI","223","2015-04-29","54","40","2015-06-22","Third Vegetative"
"Vincent-IA","234","2015-05-01","52","40","2015-06-22","Third Vegetative"
"Plainview","259","2015-04-29","54","40","2015-06-22","Third Vegetative"
"Worthington-MN","230","2015-04-23","61","41","2015-06-23","Third Vegetative"
"Truman-MN","268","2015-04-28","56","41","2015-06-23","Third Vegetative"
"Creston-IA","279","2015-05-08","46","41","2015-06-23","Third Vegetative"
"North Platte-NE","220","2015-05-01","54","42","2015-06-24","Third Vegetative"
"Mitchell-SD","232","2015-05-01","54","42","2015-06-24","Third Vegetative"
"Sanborn-MN","262","2015-04-27","58","42","2015-06-24","Third Vegetative"
"Henderson-MN","263","2015-04-23","62","42","2015-06-24","Third Vegetative"
"Hayfield-MN","265","2015-04-28","57","42","2015-06-24","Third Vegetative"
"Pocahontas-IA","237","2015-05-08","49","44","2015-06-26","Third Vegetative"
"Menomonie-WI","221","2015-04-30","58","45","2015-06-27","Third Vegetative"
"Britt-IA","236","2015-05-09","49","45","2015-06-27","Third Vegetative"
"BeaverDam-WI","225","2015-05-08","51","46","2015-06-28","Third Vegetative"
"BrownsValley-MN","244","2015-04-28","62","47","2015-06-29","Third Vegetative"
"FergusFalls-MN","247","2015-04-29","61","47","2015-06-29","Third Vegetative"
"Almena-WI","222","2015-05-05","57","49","2015-07-01","Third Vegetative"
"Ulen-MN","245","2015-04-30","62","49","2015-07-01","Third Vegetative"
"Watertown-SD","231","2015-05-05","58","50","2015-07-02","Third Vegetative"
"","","","","","",""
"Springfield-IL","283","2015-04-14","69","40","2015-06-22","Fifth Vegetative"
"Kilbourne-IL","282","2015-04-15","70","42","2015-06-24","Fifth Vegetative"
"FtBranch-IN","293","2015-05-01","54","42","2015-06-24","Fifth Vegetative"
"Trenton-IL","285","2015-04-29","57","43","2015-06-25","Fifth Vegetative"
"Macomb-IL","287","2015-04-16","70","43","2015-06-25","Fifth Vegetative"
"Shipman-IL","290","2015-04-28","59","44","2015-06-26","Fifth Vegetative"
"CerroGordo-IL","289","2015-04-23","65","45","2015-06-27","Fifth Vegetative"
"BowlingGreen-MO","272","2015-04-28","61","46","2015-06-28","Fifth Vegetative"
"Philo-IL","284","2015-04-30","59","46","2015-06-28","Fifth Vegetative"
"Richland-IA","277","2015-04-17","73","47","2015-06-29","Fifth Vegetative"
"Effingham-IL","286","2015-05-05","55","47","2015-06-29","Fifth Vegetative"
"Franklin-IN","304","2015-05-04","56","47","2015-06-29","Fifth Vegetative"
"2084-SMITH","433","2015-04-14","76","47","2015-06-29","Fifth Vegetative"
"2084S-DEETER","497","2015-04-14","76","47","2015-06-29","Fifth Vegetative"
"Waco-NE","251","2015-04-16","75","48","2015-06-30","Fifth Vegetative"
"Hiawatha-KS","273","2015-05-01","60","48","2015-06-30","Fifth Vegetative"
"Farmersburg-IN","296","2015-05-07","54","48","2015-06-30","Fifth Vegetative"
"Austin-IN","297","2015-05-05","56","48","2015-06-30","Fifth Vegetative"
"2105-MORGAN","372","2015-04-15","76","48","2015-06-30","Fifth Vegetative"
"2096-WILLIAMS","391","2015-04-16","75","48","2015-06-30","Fifth Vegetative"
"2098-AIRPORT NORTH","462","2015-04-15","76","48","2015-06-30","Fifth Vegetative"
"2095-AIRPORT WILLIAMS","489","2015-04-15","76","48","2015-06-30","Fifth Vegetative"
"Dorchester-NE","255","2015-04-22","70","49","2015-07-01","Fifth Vegetative"
"Stanwood-IA","281","2015-04-16","76","49","2015-07-01","Fifth Vegetative"
"2117-NEFF SYRACUSE","368","2015-04-17","75","49","2015-07-01","Fifth Vegetative"
"2092-BAILEY WEST","388","2015-04-17","75","49","2015-07-01","Fifth Vegetative"
"3208-STOOKEY","395","2015-04-17","75","49","2015-07-01","Fifth Vegetative"
"3250-BAILEY HOME","396","2015-04-17","75","49","2015-07-01","Fifth Vegetative"
"2109-FISHER GRAVEL PIT","397","2015-04-17","75","49","2015-07-01","Fifth Vegetative"
"3218-BAUM","438","2015-04-18","74","49","2015-07-01","Fifth Vegetative"
"2110-FISHER SYRACUSE","446","2015-04-17","75","49","2015-07-01","Fifth Vegetative"
"3249-POLK WEBSTER","479","2015-04-17","75","49","2015-07-01","Fifth Vegetative"
"2087-TOM N","385","2015-04-27","67","51","2015-07-03","Fifth Vegetative"
"2108-FISHER DEWART LAKE","448","2015-04-24","70","51","2015-07-03","Fifth Vegetative"
"Pella-IA","278","2015-04-30","65","52","2015-07-04","Fifth Vegetative"
"2131-BURBRINK","365","2015-05-02","63","52","2015-07-04","Fifth Vegetative"
"2101-FISHER CLAY","366","2015-04-30","65","52","2015-07-04","Fifth Vegetative"
"2124-FISHER DL WEST","379","2015-05-02","63","52","2015-07-04","Fifth Vegetative"
"2128-MARTINWOOD","405","2015-05-03","62","52","2015-07-04","Fifth Vegetative"
"2100-FISHER MUCK","477","2015-05-01","64","52","2015-07-04","Fifth Vegetative"
"2132-ROWLAND","491","2015-05-02","63","52","2015-07-04","Fifth Vegetative"
"Blencoe-IA","229","2015-04-27","69","53","2015-07-05","Fifth Vegetative"
"SiouxCenter-IA","233","2015-04-17","79","53","2015-07-05","Fifth Vegetative"
"2120-POLK VANDERMARK","356","2015-05-03","63","53","2015-07-05","Fifth Vegetative"
"2127-MARTINWOOD","357","2015-05-04","62","53","2015-07-05","Fifth Vegetative"
"2091-BAILEY","363","2015-05-03","63","53","2015-07-05","Fifth Vegetative"
"2118-BENDINA NORTH","392","2015-05-02","64","53","2015-07-05","Fifth Vegetative"
"2082-NUSSBAUM","414","2015-05-04","62","53","2015-07-05","Fifth Vegetative"
"2099-MARTIN DUTCHTOWN","452","2015-05-03","63","53","2015-07-05","Fifth Vegetative"
"Holdrege-NE","219","2015-04-28","69","54","2015-07-06","Fifth Vegetative"
"Aurora","256","2015-05-01","66","54","2015-07-06","Fifth Vegetative"
"NorthBend","258","2015-04-30","67","54","2015-07-06","Fifth Vegetative"
"Albion","253","2015-04-27","71","55","2015-07-07","Fifth Vegetative"
"Wakefield","249","2015-04-29","70","56","2015-07-08","Fifth Vegetative"
"Janesville-WI","223","2015-04-29","71","57","2015-07-09","Fifth Vegetative"
"Platteville-WI","224","2015-04-30","70","57","2015-07-09","Fifth Vegetative"
"Plainview","259","2015-04-29","71","57","2015-07-09","Fifth Vegetative"
"Elgin-MN","261","2015-04-17","83","57","2015-07-09","Fifth Vegetative"
"Arcadia-IA","274","2015-04-29","71","57","2015-07-09","Fifth Vegetative"
"Vincent-IA","234","2015-05-01","70","58","2015-07-10","Fifth Vegetative"
"Truman-MN","268","2015-04-28","73","58","2015-07-10","Fifth Vegetative"
"Creston-IA","279","2015-05-08","63","58","2015-07-10","Fifth Vegetative"
"North Platte-NE","220","2015-05-01","71","59","2015-07-11","Fifth Vegetative"
"Worthington-MN","230","2015-04-23","79","59","2015-07-11","Fifth Vegetative"
"Mitchell-SD","232","2015-05-01","71","59","2015-07-11","Fifth Vegetative"
"Sanborn-MN","262","2015-04-27","76","60","2015-07-12","Fifth Vegetative"
"Henderson-MN","263","2015-04-23","80","60","2015-07-12","Fifth Vegetative"
"Hayfield-MN","265","2015-04-28","75","60","2015-07-12","Fifth Vegetative"
"Pocahontas-IA","237","2015-05-08","66","61","2015-07-13","Fifth Vegetative"
"Menomonie-WI","221","2015-04-30","76","63","2015-07-15","Fifth Vegetative"
"Britt-IA","236","2015-05-09","67","63","2015-07-15","Fifth Vegetative"
"BeaverDam-WI","225","2015-05-08","69","64","2015-07-16","Fifth Vegetative"
"BrownsValley-MN","244","2015-04-28","80","65","2015-07-17","Fifth Vegetative"
"FergusFalls-MN","247","2015-04-29","79","65","2015-07-17","Fifth Vegetative"
"Almena-WI","222","2015-05-05","75","67","2015-07-19","Fifth Vegetative"
"Watertown-SD","231","2015-05-05","75","67","2015-07-19","Fifth Vegetative"
"Ulen-MN","245","2015-04-30","80","67","2015-07-19","Fifth Vegetative"
"","","","","","",""
