"name","fieldID","dayTill","Imaging-Date"
"Rogers-TX","226","0","2015-05-07"
"Jones-LA","227","0","2015-05-07"
"Danevang-TX","228","0","2015-05-07"
"Waco-NE","251","0","2015-05-07"
"WamegoIRR-KS","271","0","2015-05-07"
"Kilbourne-IL","282","0","2015-05-07"
"Springfield-IL","283","0","2015-05-07"
"Macomb-IL","287","0","2015-05-07"
"Marianna-AR","307","0","2015-05-07"
"Risco-MO","310","0","2015-05-07"
"SiouxCenter-IA","233","1","2015-05-08"
"Dorchester-NE","255","1","2015-05-08"
"Stanwood-IA","281","2","2015-05-09"
"WalnutRidge-AR","311","2","2015-05-09"
"Richland-IA","277","3","2015-05-10"
"Elgin-MN","261","5","2015-05-12"
"Holdrege-NE","219","6","2015-05-13"
"CerroGordo-IL","289","6","2015-05-13"
"Albion","253","7","2015-05-14"
"BowlingGreen-MO","272","7","2015-05-14"
"Trenton-IL","285","7","2015-05-14"
"Shipman-IL","290","7","2015-05-14"
"Jackson-TN","308","7","2015-05-14"
"Blencoe-IA","229","9","2015-05-16"
"Worthington-MN","230","9","2015-05-16"
"NorthBend","258","9","2015-05-16"
"Plainview","259","9","2015-05-16"
"Aurora","256","10","2015-05-17"
"Hiawatha-KS","273","10","2015-05-17"
"Philo-IL","284","10","2015-05-17"
"North Platte-NE","220","11","2015-05-18"
"Wakefield","249","11","2015-05-18"
"Sanborn-MN","262","11","2015-05-18"
"Henderson-MN","263","11","2015-05-18"
"Truman-MN","268","11","2015-05-18"
"Hayfield-MN","265","12","2015-05-19"
"Pella-IA","278","12","2015-05-19"
"Menomonie-WI","221","13","2015-05-20"
"Janesville-WI","223","13","2015-05-20"
"Arcadia-IA","274","13","2015-05-20"
