"name","fieldID","dayTill","Imaging-Date"
"Springfield-IL","283","22","2015-06-05"
"Kilbourne-IL","282","23","2015-06-06"
"Macomb-IL","287","25","2015-06-08"
"FtBranch-IN","293","25","2015-06-08"
"Trenton-IL","285","26","2015-06-09"
"CerroGordo-IL","289","27","2015-06-10"
"Shipman-IL","290","27","2015-06-10"
"Mike's","635","27","2015-06-10"
"Joe-40","667","27","2015-06-10"
"BowlingGreen-MO","272","28","2015-06-11"
"Perrysville-IN","294","28","2015-06-11"
"Richland-IA","277","29","2015-06-12"
"Philo-IL","284","29","2015-06-12"
"Waco-NE","251","30","2015-06-13"
"Effingham-IL","286","30","2015-06-13"
"Austin-IN","297","30","2015-06-13"
"Franklin-IN","304","30","2015-06-13"
"2092-BAILEY WEST","388","30","2015-06-13"
"3208-STOOKEY","395","30","2015-06-13"
"3250-BAILEY HOME","396","30","2015-06-13"
"3218-BAUM","438","30","2015-06-13"
"3249-POLK WEBSTER","479","30","2015-06-13"
"Stanwood-IA","281","31","2015-06-14"
"Farmersburg-IN","296","31","2015-06-14"
"Dorchester-NE","255","32","2015-06-15"
"Hiawatha-KS","273","32","2015-06-15"
"Home","634","32","2015-06-15"
"Jansen","668","33","2015-06-16"
"SiouxCenter-IA","233","34","2015-06-17"
"Demotte-IN","300","34","2015-06-17"
"2091-BAILEY","363","34","2015-06-17"
"2131-BURBRINK","365","34","2015-06-17"
"2132-ROWLAND","491","34","2015-06-17"
"Blencoe-IA","229","35","2015-06-18"
"Pella-IA","278","35","2015-06-18"
"KTNW & KTNE","636","35","2015-06-18"
"Holdrege-NE","219","36","2015-06-19"
"Aurora","256","36","2015-06-19"
"NorthBend","258","36","2015-06-19"
"Betty's","625","36","2015-06-19"
"Robert Grossman","628","36","2015-06-19"
"Larry Jr. Farm","632","36","2015-06-19"
"Wakefield","249","37","2015-06-20"
"Albion","253","37","2015-06-20"
"Elgin-MN","261","38","2015-06-21"
"Arcadia-IA","274","38","2015-06-21"
"Janesville-WI","223","39","2015-06-22"
"Platteville-WI","224","39","2015-06-22"
"Vincent-IA","234","39","2015-06-22"
"Plainview","259","39","2015-06-22"
"Worthington-MN","230","40","2015-06-23"
"Truman-MN","268","40","2015-06-23"
"Home Farm Split","626","40","2015-06-23"
"Mitchell-SD","232","41","2015-06-24"
"Sanborn-MN","262","41","2015-06-24"
"Creston-IA","279","41","2015-06-24"
"North Platte-NE","220","42","2015-06-25"
"Henderson-MN","263","42","2015-06-25"
"Hayfield-MN","265","42","2015-06-25"
"Pocahontas-IA","237","43","2015-06-26"
"Britt-IA","236","44","2015-06-27"
"Danube-MN","264","44","2015-06-27"
"Menomonie-WI","221","46","2015-06-29"
"BeaverDam-WI","225","46","2015-06-29"
"BrownsValley-MN","244","46","2015-06-29"
"Santiago-MN","270","46","2015-06-29"
"Pierre-SD","317","46","2015-06-29"
"FergusFalls-MN","247","47","2015-06-30"
"Westport-MN","260","47","2015-06-30"
"Holloway-MN","269","47","2015-06-30"
"Faulkton-SD","312","47","2015-06-30"
"Almena-WI","222","48","2015-07-01"
"Ulen-MN","245","48","2015-07-01"
"Belgrade-MN","267","48","2015-07-01"
"Watertown-SD","231","50","2015-07-03"
"Strasburg-ND","315","50","2015-07-03"
