"Field Name","Field ID","Plant Date","Days from Plant to Imaging Period","Days from Current Day until Imaging event","Predicted Date of Imaging Event","Imaging Event Name"
"Springfield-IL","283","2015-04-14","28","-12","2015-05-12","Stand Count"
"Kilbourne-IL","282","2015-04-15","28","-11","2015-05-13","Stand Count"
"Macomb-IL","287","2015-04-16","28","-10","2015-05-14","Stand Count"
"Trenton-IL","285","2015-04-29","18","-7","2015-05-17","Stand Count"
"Shipman-IL","290","2015-04-28","19","-7","2015-05-17","Stand Count"
"BowlingGreen-MO","272","2015-04-28","20","-6","2015-05-18","Stand Count"
"CerroGordo-IL","289","2015-04-23","25","-6","2015-05-18","Stand Count"
"FtBranch-IN","293","2015-05-01","17","-6","2015-05-18","Stand Count"
"Perrysville-IN","294","2015-04-29","19","-6","2015-05-18","Stand Count"
"Waco-NE","251","2015-04-16","33","-5","2015-05-19","Stand Count"
"Richland-IA","277","2015-04-17","32","-5","2015-05-19","Stand Count"
"Stanwood-IA","281","2015-04-16","34","-4","2015-05-20","Stand Count"
"Philo-IL","284","2015-04-30","20","-4","2015-05-20","Stand Count"
"Austin-IN","297","2015-05-05","17","-2","2015-05-22","Stand Count"
"Effingham-IL","286","2015-05-05","18","-1","2015-05-23","Stand Count"
"Demotte-IN","300","2015-04-28","25","-1","2015-05-23","Stand Count"
"Franklin-IN","304","2015-05-04","19","-1","2015-05-23","Stand Count"
"Dorchester-NE","255","2015-04-22","32","0","2015-05-24","Stand Count"
"SiouxCenter-IA","233","2015-04-17","38","1","2015-05-25","Stand Count"
"Hiawatha-KS","273","2015-05-01","24","1","2015-05-25","Stand Count"
"Blencoe-IA","229","2015-04-27","29","2","2015-05-26","Stand Count"
"Pella-IA","278","2015-04-30","26","2","2015-05-26","Stand Count"
"Farmersburg-IN","296","2015-05-07","19","2","2015-05-26","Stand Count"
"Holdrege-NE","219","2015-04-28","31","5","2015-05-29","Stand Count"
"Janesville-WI","223","2015-04-29","30","5","2015-05-29","Stand Count"
