"Field Name","Field ID","Plant Date","Days from Plant to Imaging Period","Days from Current Day until Imaging event","Predicted Date of Imaging Event","Imaging Event Name"
"Albion","253","2015-04-27","32","5","2015-05-29","Stand Count"
"NorthBend","258","2015-04-30","29","5","2015-05-29","Stand Count"
"Platteville-WI","224","2015-04-30","31","7","2015-05-31","Stand Count"
"Wakefield","249","2015-04-29","32","7","2015-05-31","Stand Count"
"Aurora","256","2015-05-01","30","7","2015-05-31","Stand Count"
"Arcadia-IA","274","2015-04-29","32","7","2015-05-31","Stand Count"
"Plainview","259","2015-04-29","33","8","2015-06-01","Stand Count"
"Elgin-MN","261","2015-04-17","45","8","2015-06-01","Stand Count"
"Worthington-MN","230","2015-04-23","40","9","2015-06-02","Stand Count"
"Vincent-IA","234","2015-05-01","32","9","2015-06-02","Stand Count"
"Truman-MN","268","2015-04-28","35","9","2015-06-02","Stand Count"
"Mitchell-SD","232","2015-05-01","33","10","2015-06-03","Stand Count"
"Sanborn-MN","262","2015-04-27","37","10","2015-06-03","Stand Count"
"Henderson-MN","263","2015-04-23","41","10","2015-06-03","Stand Count"
"Hayfield-MN","265","2015-04-28","36","10","2015-06-03","Stand Count"
"North Platte-NE","220","2015-05-01","34","11","2015-06-04","Stand Count"
"Creston-IA","279","2015-05-08","27","11","2015-06-04","Stand Count"
"BrownsValley-MN","244","2015-04-28","38","12","2015-06-05","Stand Count"
"Danube-MN","264","2015-04-29","37","12","2015-06-05","Stand Count"
"Osco-IL","288","2015-05-12","24","12","2015-06-05","Stand Count"
"BeaverDam-WI","225","2015-05-08","29","13","2015-06-06","Stand Count"
"Santiago-MN","270","2015-04-30","37","13","2015-06-06","Stand Count"
"Pierre-SD","317","2015-04-29","38","13","2015-06-06","Stand Count"
"Menomonie-WI","221","2015-05-05","33","14","2015-06-07","Stand Count"
"Britt-IA","236","2015-05-09","29","14","2015-06-07","Stand Count"
"Pocahontas-IA","237","2015-05-08","30","14","2015-06-07","Stand Count"
"FergusFalls-MN","247","2015-04-29","39","14","2015-06-07","Stand Count"
"Westport-MN","260","2015-05-01","37","14","2015-06-07","Stand Count"
"Lafayette-IN","301","2015-05-18","20","14","2015-06-07","Stand Count"
"Faulkton-SD","312","2015-04-30","38","14","2015-06-07","Stand Count"
"CharlesCity-IA","275","2015-05-12","27","15","2015-06-08","Stand Count"
"Manchester-IA","280","2015-05-13","26","15","2015-06-08","Stand Count"
"Almena-WI","222","2015-05-05","35","16","2015-06-09","Stand Count"
"Ulen-MN","245","2015-04-30","40","16","2015-06-09","Stand Count"
"Belgrade-MN","267","2015-05-04","36","16","2015-06-09","Stand Count"
"Holloway-MN","269","2015-05-05","35","16","2015-06-09","Stand Count"
"TroyGrove-IL","291","2015-05-19","22","17","2015-06-10","Stand Count"
"Strasburg-ND","315","2015-05-01","40","17","2015-06-10","Stand Count"
"Watertown-SD","231","2015-05-05","37","18","2015-06-11","Stand Count"
"DeKalb-IL","292","2015-05-19","23","18","2015-06-11","Stand Count"
"Ainsworth-NE","257","2015-05-14","29","19","2015-06-12","Stand Count"
"","","","","","",""
"Field 1 ","326","2015-04-01","45","-8","2015-05-16","First Vegetative"
"K-State West","331","2015-04-22","31","-1","2015-05-23","First Vegetative"
"K State West","333","2015-04-22","31","-1","2015-05-23","First Vegetative"
"2092-BAILEY WEST","388","2015-04-17","36","-1","2015-05-23","First Vegetative"
"3208-STOOKEY","395","2015-04-17","36","-1","2015-05-23","First Vegetative"
"3250-BAILEY HOME","396","2015-04-17","36","-1","2015-05-23","First Vegetative"
"3249-POLK WEBSTER","479","2015-04-17","36","-1","2015-05-23","First Vegetative"
"Drew House","334","2015-05-03","21","0","2015-05-24","First Vegetative"
"Patterson Ranch- South Bottom","336","2015-04-22","32","0","2015-05-24","First Vegetative"
"3218-BAUM","438","2015-04-18","36","0","2015-05-24","First Vegetative"
"2131-BURBRINK","365","2015-05-02","27","5","2015-05-29","First Vegetative"
"2132-ROWLAND","491","2015-05-02","27","5","2015-05-29","First Vegetative"
"2091-BAILEY","363","2015-05-03","27","6","2015-05-30","First Vegetative"
"House","327","2015-04-20","41","7","2015-05-31","First Vegetative"
"South Corn","580","2015-04-29","33","8","2015-06-01","First Vegetative"
"North Field","579","2015-04-30","33","9","2015-06-02","First Vegetative"
"Westcott/Rebuhn","586","2015-04-22","41","9","2015-06-02","First Vegetative"
"Peterson","585","2015-04-27","37","10","2015-06-03","First Vegetative"
"Lone Tree 9","587","2015-04-21","43","10","2015-06-03","First Vegetative"
"Humboldt Farm","354","2015-04-29","36","11","2015-06-04","First Vegetative"
"Hoover/Wagner North","584","2015-04-29","36","11","2015-06-04","First Vegetative"
"Home Place","338","2015-05-02","34","12","2015-06-05","First Vegetative"
"The 80","339","2015-05-01","35","12","2015-06-05","First Vegetative"
"Kennings","341","2015-05-01","35","12","2015-06-05","First Vegetative"
"Kings","344","2015-05-03","34","13","2015-06-06","First Vegetative"
"Pitts 5","582","2015-05-02","35","13","2015-06-06","First Vegetative"
"Pitts 5","583","2015-05-02","35","13","2015-06-06","First Vegetative"
"Hartje NE","588","2015-05-02","35","13","2015-06-06","First Vegetative"
"Hartje NW","589","2015-05-02","35","13","2015-06-06","First Vegetative"
"Hartje West","590","2015-05-02","35","13","2015-06-06","First Vegetative"
"Precision Ag - Innovation","320","2015-04-23","45","14","2015-06-07","First Vegetative"
"Agronomy - SW3","323","2015-04-24","44","14","2015-06-07","First Vegetative"
"Agronomy SW4N","573","2015-04-24","44","14","2015-06-07","First Vegetative"
"Agronomy - NE7","578","2015-04-25","43","14","2015-06-07","First Vegetative"
"Agronomy - SW1","322","2015-04-25","44","15","2015-06-08","First Vegetative"
"Spider Ag Cover Crop/Quick Roots Trial","332","2015-05-16","23","15","2015-06-08","First Vegetative"
"Across from Bins","569","2015-05-04","35","15","2015-06-08","First Vegetative"
"Across Road from Bins","570","2015-05-04","35","15","2015-06-08","First Vegetative"
"Agronomy - SW5","576","2015-04-27","42","15","2015-06-08","First Vegetative"
"K-State East","330","2015-05-21","21","18","2015-06-11","First Vegetative"
"Agronomy - SW4","321","2015-05-08","39","23","2015-06-16","First Vegetative"
"","","","","","",""
"Westcott/Rebuhn","586","2015-04-22","54","22","2015-06-15","Second Vegetative"
"Peterson","585","2015-04-27","50","23","2015-06-16","Second Vegetative"
"","","","","","",""
"Springfield-IL","283","2015-04-14","62","22","2015-06-15","Third Vegetative"
"Trenton-IL","285","2015-04-29","48","23","2015-06-16","Third Vegetative"
"FtBranch-IN","293","2015-05-01","46","23","2015-06-16","Third Vegetative"
"Kilbourne-IL","282","2015-04-15","63","24","2015-06-17","Third Vegetative"
"Shipman-IL","290","2015-04-28","50","24","2015-06-17","Third Vegetative"
"BowlingGreen-MO","272","2015-04-28","51","25","2015-06-18","Third Vegetative"
"Macomb-IL","287","2015-04-16","63","25","2015-06-18","Third Vegetative"
"CerroGordo-IL","289","2015-04-23","56","25","2015-06-18","Third Vegetative"
"Effingham-IL","286","2015-05-05","45","26","2015-06-19","Third Vegetative"
"Perrysville-IN","294","2015-04-29","51","26","2015-06-19","Third Vegetative"
"K-State West","331","2015-04-22","58","26","2015-06-19","Third Vegetative"
"K State West","333","2015-04-22","58","26","2015-06-19","Third Vegetative"
"Drew House","334","2015-05-03","47","26","2015-06-19","Third Vegetative"
"Philo-IL","284","2015-04-30","51","27","2015-06-20","Third Vegetative"
"Austin-IN","297","2015-05-05","46","27","2015-06-20","Third Vegetative"
"Franklin-IN","304","2015-05-04","47","27","2015-06-20","Third Vegetative"
"Field 1 ","326","2015-04-01","80","27","2015-06-20","Third Vegetative"
"Patterson Ranch- South Bottom","336","2015-04-22","59","27","2015-06-20","Third Vegetative"
"Farmersburg-IN","296","2015-05-07","45","28","2015-06-21","Third Vegetative"
"3249-POLK WEBSTER","479","2015-04-17","65","28","2015-06-21","Third Vegetative"
"Hiawatha-KS","273","2015-05-01","52","29","2015-06-22","Third Vegetative"
"Richland-IA","277","2015-04-17","66","29","2015-06-22","Third Vegetative"
"2092-BAILEY WEST","388","2015-04-17","66","29","2015-06-22","Third Vegetative"
"3208-STOOKEY","395","2015-04-17","66","29","2015-06-22","Third Vegetative"
"3250-BAILEY HOME","396","2015-04-17","66","29","2015-06-22","Third Vegetative"
"3218-BAUM","438","2015-04-18","65","29","2015-06-22","Third Vegetative"
"Waco-NE","251","2015-04-16","68","30","2015-06-23","Third Vegetative"
"Stanwood-IA","281","2015-04-16","68","30","2015-06-23","Third Vegetative"
"Dorchester-NE","255","2015-04-22","63","31","2015-06-24","Third Vegetative"
"Demotte-IN","300","2015-04-28","57","31","2015-06-24","Third Vegetative"
"2132-ROWLAND","491","2015-05-02","53","31","2015-06-24","Third Vegetative"
"Pella-IA","278","2015-04-30","56","32","2015-06-25","Third Vegetative"
"2091-BAILEY","363","2015-05-03","53","32","2015-06-25","Third Vegetative"
"2131-BURBRINK","365","2015-05-02","54","32","2015-06-25","Third Vegetative"
"South Corn","580","2015-04-29","57","32","2015-06-25","Third Vegetative"
"North Field","579","2015-04-30","57","33","2015-06-26","Third Vegetative"
"Holdrege-NE","219","2015-04-28","60","34","2015-06-27","Third Vegetative"
"Blencoe-IA","229","2015-04-27","61","34","2015-06-27","Third Vegetative"
"Aurora","256","2015-05-01","57","34","2015-06-27","Third Vegetative"
"NorthBend","258","2015-04-30","58","34","2015-06-27","Third Vegetative"
"SiouxCenter-IA","233","2015-04-17","72","35","2015-06-28","Third Vegetative"
"Albion","253","2015-04-27","62","35","2015-06-28","Third Vegetative"
"Platteville-WI","224","2015-04-30","60","36","2015-06-29","Third Vegetative"
"Wakefield","249","2015-04-29","61","36","2015-06-29","Third Vegetative"
"Arcadia-IA","274","2015-04-29","61","36","2015-06-29","Third Vegetative"
"House","327","2015-04-20","70","36","2015-06-29","Third Vegetative"
"Westcott/Rebuhn","586","2015-04-22","68","36","2015-06-29","Third Vegetative"
"Janesville-WI","223","2015-04-29","62","37","2015-06-30","Third Vegetative"
"Plainview","259","2015-04-29","62","37","2015-06-30","Third Vegetative"
"Spider Ag Cover Crop/Quick Roots Trial","332","2015-05-16","45","37","2015-06-30","Third Vegetative"
"Humboldt Farm","354","2015-04-29","62","37","2015-06-30","Third Vegetative"
"Peterson","585","2015-04-27","64","37","2015-06-30","Third Vegetative"
"Lone Tree 9","587","2015-04-21","70","37","2015-06-30","Third Vegetative"
"Vincent-IA","234","2015-05-01","61","38","2015-07-01","Third Vegetative"
"Creston-IA","279","2015-05-08","54","38","2015-07-01","Third Vegetative"
"Osco-IL","288","2015-05-12","50","38","2015-07-01","Third Vegetative"
"Home Place","338","2015-05-02","60","38","2015-07-01","Third Vegetative"
"The 80","339","2015-05-01","61","38","2015-07-01","Third Vegetative"
"Kennings","341","2015-05-01","61","38","2015-07-01","Third Vegetative"
"Hoover/Wagner North","584","2015-04-29","63","38","2015-07-01","Third Vegetative"
"North Platte-NE","220","2015-05-01","62","39","2015-07-02","Third Vegetative"
"Elgin-MN","261","2015-04-17","76","39","2015-07-02","Third Vegetative"
"Truman-MN","268","2015-04-28","65","39","2015-07-02","Third Vegetative"
"K-State East","330","2015-05-21","42","39","2015-07-02","Third Vegetative"
"Kings","344","2015-05-03","60","39","2015-07-02","Third Vegetative"
"Pitts 5","582","2015-05-02","61","39","2015-07-02","Third Vegetative"
"Pitts 5","583","2015-05-02","61","39","2015-07-02","Third Vegetative"
"Hartje NE","588","2015-05-02","61","39","2015-07-02","Third Vegetative"
"Hartje NW","589","2015-05-02","61","39","2015-07-02","Third Vegetative"
"Hartje West","590","2015-05-02","61","39","2015-07-02","Third Vegetative"
"Worthington-MN","230","2015-04-23","71","40","2015-07-03","Third Vegetative"
"Mitchell-SD","232","2015-05-01","63","40","2015-07-03","Third Vegetative"
"Sanborn-MN","262","2015-04-27","67","40","2015-07-03","Third Vegetative"
"Lafayette-IN","301","2015-05-18","46","40","2015-07-03","Third Vegetative"
"Henderson-MN","263","2015-04-23","72","41","2015-07-04","Third Vegetative"
"Hayfield-MN","265","2015-04-28","67","41","2015-07-04","Third Vegetative"
"Pocahontas-IA","237","2015-05-08","58","42","2015-07-05","Third Vegetative"
"BeaverDam-WI","225","2015-05-08","59","43","2015-07-06","Third Vegetative"
"Britt-IA","236","2015-05-09","58","43","2015-07-06","Third Vegetative"
"Danube-MN","264","2015-04-29","68","43","2015-07-06","Third Vegetative"
"CharlesCity-IA","275","2015-05-12","55","43","2015-07-06","Third Vegetative"
"Manchester-IA","280","2015-05-13","54","43","2015-07-06","Third Vegetative"
"TroyGrove-IL","291","2015-05-19","48","43","2015-07-06","Third Vegetative"
"Precision Ag - Innovation","320","2015-04-23","74","43","2015-07-06","Third Vegetative"
"Agronomy - SW3","323","2015-04-24","73","43","2015-07-06","Third Vegetative"
"Across from Bins","569","2015-05-04","63","43","2015-07-06","Third Vegetative"
"Across Road from Bins","570","2015-05-04","63","43","2015-07-06","Third Vegetative"
"Agronomy SW4N","573","2015-04-24","73","43","2015-07-06","Third Vegetative"
"Agronomy - NE7","578","2015-04-25","72","43","2015-07-06","Third Vegetative"
"BrownsValley-MN","244","2015-04-28","70","44","2015-07-07","Third Vegetative"
"Santiago-MN","270","2015-04-30","68","44","2015-07-07","Third Vegetative"
"Faulkton-SD","312","2015-04-30","68","44","2015-07-07","Third Vegetative"
"Pierre-SD","317","2015-04-29","69","44","2015-07-07","Third Vegetative"
"Agronomy - SW1","322","2015-04-25","73","44","2015-07-07","Third Vegetative"
"Agronomy - SW5","576","2015-04-27","71","44","2015-07-07","Third Vegetative"
"Menomonie-WI","221","2015-05-05","64","45","2015-07-08","Third Vegetative"
"FergusFalls-MN","247","2015-04-29","70","45","2015-07-08","Third Vegetative"
"Holloway-MN","269","2015-05-05","64","45","2015-07-08","Third Vegetative"
"DeKalb-IL","292","2015-05-19","50","45","2015-07-08","Third Vegetative"
"Ainsworth-NE","257","2015-05-14","56","46","2015-07-09","Third Vegetative"
"Westport-MN","260","2015-05-01","69","46","2015-07-09","Third Vegetative"
"Belgrade-MN","267","2015-05-04","66","46","2015-07-09","Third Vegetative"
"Almena-WI","222","2015-05-05","66","47","2015-07-10","Third Vegetative"
"Watertown-SD","231","2015-05-05","66","47","2015-07-10","Third Vegetative"
"Ulen-MN","245","2015-04-30","71","47","2015-07-10","Third Vegetative"
"Strasburg-ND","315","2015-05-01","71","48","2015-07-11","Third Vegetative"
"Agronomy - SW4","321","2015-05-08","65","49","2015-07-12","Third Vegetative"
"","","","","","",""
"Peterson","585","2015-04-27","74","47","2015-07-10","Fourth Vegetative"
"Westcott/Rebuhn","586","2015-04-22","79","47","2015-07-10","Fourth Vegetative"
"","","","","","",""
"Springfield-IL","283","2015-04-14","78","38","2015-07-01","Fifth Vegetative"
"Trenton-IL","285","2015-04-29","63","38","2015-07-01","Fifth Vegetative"
"FtBranch-IN","293","2015-05-01","61","38","2015-07-01","Fifth Vegetative"
"Shipman-IL","290","2015-04-28","65","39","2015-07-02","Fifth Vegetative"
"Kilbourne-IL","282","2015-04-15","79","40","2015-07-03","Fifth Vegetative"
"CerroGordo-IL","289","2015-04-23","71","40","2015-07-03","Fifth Vegetative"
"BowlingGreen-MO","272","2015-04-28","67","41","2015-07-04","Fifth Vegetative"
"Macomb-IL","287","2015-04-16","79","41","2015-07-04","Fifth Vegetative"
"Effingham-IL","286","2015-05-05","61","42","2015-07-05","Fifth Vegetative"
"K-State West","331","2015-04-22","74","42","2015-07-05","Fifth Vegetative"
"K State West","333","2015-04-22","74","42","2015-07-05","Fifth Vegetative"
"Drew House","334","2015-05-03","63","42","2015-07-05","Fifth Vegetative"
"Philo-IL","284","2015-04-30","67","43","2015-07-06","Fifth Vegetative"
"Perrysville-IN","294","2015-04-29","68","43","2015-07-06","Fifth Vegetative"
"Austin-IN","297","2015-05-05","62","43","2015-07-06","Fifth Vegetative"
"Franklin-IN","304","2015-05-04","63","43","2015-07-06","Fifth Vegetative"
"Patterson Ranch- South Bottom","336","2015-04-22","75","43","2015-07-06","Fifth Vegetative"
"Farmersburg-IN","296","2015-05-07","61","44","2015-07-07","Fifth Vegetative"
"Field 1 ","326","2015-04-01","97","44","2015-07-07","Fifth Vegetative"
"Hiawatha-KS","273","2015-05-01","68","45","2015-07-08","Fifth Vegetative"
"Richland-IA","277","2015-04-17","83","46","2015-07-09","Fifth Vegetative"
"2092-BAILEY WEST","388","2015-04-17","83","46","2015-07-09","Fifth Vegetative"
"3208-STOOKEY","395","2015-04-17","83","46","2015-07-09","Fifth Vegetative"
"3250-BAILEY HOME","396","2015-04-17","83","46","2015-07-09","Fifth Vegetative"
"3218-BAUM","438","2015-04-18","82","46","2015-07-09","Fifth Vegetative"
"3249-POLK WEBSTER","479","2015-04-17","83","46","2015-07-09","Fifth Vegetative"
"Waco-NE","251","2015-04-16","85","47","2015-07-10","Fifth Vegetative"
"Dorchester-NE","255","2015-04-22","79","47","2015-07-10","Fifth Vegetative"
"Stanwood-IA","281","2015-04-16","85","47","2015-07-10","Fifth Vegetative"
"Pella-IA","278","2015-04-30","72","48","2015-07-11","Fifth Vegetative"
"Demotte-IN","300","2015-04-28","74","48","2015-07-11","Fifth Vegetative"
"2132-ROWLAND","491","2015-05-02","70","48","2015-07-11","Fifth Vegetative"
"South Corn","580","2015-04-29","73","48","2015-07-11","Fifth Vegetative"
"2091-BAILEY","363","2015-05-03","70","49","2015-07-12","Fifth Vegetative"
"2131-BURBRINK","365","2015-05-02","71","49","2015-07-12","Fifth Vegetative"
"North Field","579","2015-04-30","73","49","2015-07-12","Fifth Vegetative"
"Blencoe-IA","229","2015-04-27","77","50","2015-07-13","Fifth Vegetative"
"Aurora","256","2015-05-01","73","50","2015-07-13","Fifth Vegetative"
"Holdrege-NE","219","2015-04-28","77","51","2015-07-14","Fifth Vegetative"
"NorthBend","258","2015-04-30","75","51","2015-07-14","Fifth Vegetative"
"SiouxCenter-IA","233","2015-04-17","89","52","2015-07-15","Fifth Vegetative"
"Albion","253","2015-04-27","79","52","2015-07-15","Fifth Vegetative"
"Spider Ag Cover Crop/Quick Roots Trial","332","2015-05-16","60","52","2015-07-15","Fifth Vegetative"
"Platteville-WI","224","2015-04-30","77","53","2015-07-16","Fifth Vegetative"
"Wakefield","249","2015-04-29","78","53","2015-07-16","Fifth Vegetative"
"Arcadia-IA","274","2015-04-29","78","53","2015-07-16","Fifth Vegetative"
"Westcott/Rebuhn","586","2015-04-22","85","53","2015-07-16","Fifth Vegetative"
"Janesville-WI","223","2015-04-29","79","54","2015-07-17","Fifth Vegetative"
"Plainview","259","2015-04-29","79","54","2015-07-17","Fifth Vegetative"
"Creston-IA","279","2015-05-08","70","54","2015-07-17","Fifth Vegetative"
"Osco-IL","288","2015-05-12","66","54","2015-07-17","Fifth Vegetative"
"House","327","2015-04-20","88","54","2015-07-17","Fifth Vegetative"
"K-State East","330","2015-05-21","57","54","2015-07-17","Fifth Vegetative"
"The 80","339","2015-05-01","77","54","2015-07-17","Fifth Vegetative"
"Humboldt Farm","354","2015-04-29","79","54","2015-07-17","Fifth Vegetative"
"Hoover/Wagner North","584","2015-04-29","79","54","2015-07-17","Fifth Vegetative"
"Peterson","585","2015-04-27","81","54","2015-07-17","Fifth Vegetative"
"Lone Tree 9","587","2015-04-21","87","54","2015-07-17","Fifth Vegetative"
"Mitchell-SD","232","2015-05-01","78","55","2015-07-18","Fifth Vegetative"
"Vincent-IA","234","2015-05-01","78","55","2015-07-18","Fifth Vegetative"
"Home Place","338","2015-05-02","77","55","2015-07-18","Fifth Vegetative"
"Kennings","341","2015-05-01","78","55","2015-07-18","Fifth Vegetative"
"Kings","344","2015-05-03","76","55","2015-07-18","Fifth Vegetative"
"Hartje NE","588","2015-05-02","77","55","2015-07-18","Fifth Vegetative"
"Hartje NW","589","2015-05-02","77","55","2015-07-18","Fifth Vegetative"
"Hartje West","590","2015-05-02","77","55","2015-07-18","Fifth Vegetative"
"North Platte-NE","220","2015-05-01","79","56","2015-07-19","Fifth Vegetative"
"Elgin-MN","261","2015-04-17","93","56","2015-07-19","Fifth Vegetative"
"Truman-MN","268","2015-04-28","82","56","2015-07-19","Fifth Vegetative"
"Lafayette-IN","301","2015-05-18","62","56","2015-07-19","Fifth Vegetative"
"Pitts 5","582","2015-05-02","78","56","2015-07-19","Fifth Vegetative"
"Pitts 5","583","2015-05-02","78","56","2015-07-19","Fifth Vegetative"
"Worthington-MN","230","2015-04-23","88","57","2015-07-20","Fifth Vegetative"
"Sanborn-MN","262","2015-04-27","84","57","2015-07-20","Fifth Vegetative"
"Henderson-MN","263","2015-04-23","88","57","2015-07-20","Fifth Vegetative"
"Pocahontas-IA","237","2015-05-08","74","58","2015-07-21","Fifth Vegetative"
"Hayfield-MN","265","2015-04-28","84","58","2015-07-21","Fifth Vegetative"
"Britt-IA","236","2015-05-09","74","59","2015-07-22","Fifth Vegetative"
"Danube-MN","264","2015-04-29","84","59","2015-07-22","Fifth Vegetative"
"Manchester-IA","280","2015-05-13","70","59","2015-07-22","Fifth Vegetative"
"TroyGrove-IL","291","2015-05-19","64","59","2015-07-22","Fifth Vegetative"
"BeaverDam-WI","225","2015-05-08","76","60","2015-07-23","Fifth Vegetative"
"CharlesCity-IA","275","2015-05-12","72","60","2015-07-23","Fifth Vegetative"
"Pierre-SD","317","2015-04-29","85","60","2015-07-23","Fifth Vegetative"
"Precision Ag - Innovation","320","2015-04-23","91","60","2015-07-23","Fifth Vegetative"
"Agronomy - SW1","322","2015-04-25","89","60","2015-07-23","Fifth Vegetative"
"Agronomy - SW3","323","2015-04-24","90","60","2015-07-23","Fifth Vegetative"
"Across from Bins","569","2015-05-04","80","60","2015-07-23","Fifth Vegetative"
"Across Road from Bins","570","2015-05-04","80","60","2015-07-23","Fifth Vegetative"
"Agronomy SW4N","573","2015-04-24","90","60","2015-07-23","Fifth Vegetative"
"Agronomy - NE7","578","2015-04-25","89","60","2015-07-23","Fifth Vegetative"
"BrownsValley-MN","244","2015-04-28","87","61","2015-07-24","Fifth Vegetative"
"DeKalb-IL","292","2015-05-19","66","61","2015-07-24","Fifth Vegetative"
"Faulkton-SD","312","2015-04-30","85","61","2015-07-24","Fifth Vegetative"
"Agronomy - SW5","576","2015-04-27","88","61","2015-07-24","Fifth Vegetative"
"Menomonie-WI","221","2015-05-05","81","62","2015-07-25","Fifth Vegetative"
"FergusFalls-MN","247","2015-04-29","87","62","2015-07-25","Fifth Vegetative"
"Ainsworth-NE","257","2015-05-14","72","62","2015-07-25","Fifth Vegetative"
"Holloway-MN","269","2015-05-05","81","62","2015-07-25","Fifth Vegetative"
"Santiago-MN","270","2015-04-30","86","62","2015-07-25","Fifth Vegetative"
"Westport-MN","260","2015-05-01","87","64","2015-07-27","Fifth Vegetative"
"Belgrade-MN","267","2015-05-04","84","64","2015-07-27","Fifth Vegetative"
"Almena-WI","222","2015-05-05","84","65","2015-07-28","Fifth Vegetative"
"Watertown-SD","231","2015-05-05","84","65","2015-07-28","Fifth Vegetative"
"Ulen-MN","245","2015-04-30","90","66","2015-07-29","Fifth Vegetative"
"Strasburg-ND","315","2015-05-01","89","66","2015-07-29","Fifth Vegetative"
"Agronomy - SW4","321","2015-05-08","82","66","2015-07-29","Fifth Vegetative"
"","","","","","",""
