"name","fieldID","dayTill","Imaging-Date"
"Field 1 ","326","-8","2015-05-16"
"K-State West","331","-1","2015-05-23"
"K State West","333","-1","2015-05-23"
"2092-BAILEY WEST","388","-1","2015-05-23"
"3208-STOOKEY","395","-1","2015-05-23"
"3250-BAILEY HOME","396","-1","2015-05-23"
"3249-POLK WEBSTER","479","-1","2015-05-23"
"Drew House","334","0","2015-05-24"
"Patterson Ranch- South Bottom","336","0","2015-05-24"
"3218-BAUM","438","0","2015-05-24"
"2131-BURBRINK","365","5","2015-05-29"
"2132-ROWLAND","491","5","2015-05-29"
"2091-BAILEY","363","6","2015-05-30"
"House","327","7","2015-05-31"
"South Corn","580","8","2015-06-01"
"North Field","579","9","2015-06-02"
"Westcott/Rebuhn","586","9","2015-06-02"
"Peterson","585","10","2015-06-03"
"Lone Tree 9","587","10","2015-06-03"
"Humboldt Farm","354","11","2015-06-04"
"Hoover/Wagner North","584","11","2015-06-04"
"Home Place","338","12","2015-06-05"
"The 80","339","12","2015-06-05"
"Kennings","341","12","2015-06-05"
"Kings","344","13","2015-06-06"
"Pitts 5","582","13","2015-06-06"
"Pitts 5","583","13","2015-06-06"
"Hartje NE","588","13","2015-06-06"
"Hartje NW","589","13","2015-06-06"
"Hartje West","590","13","2015-06-06"
"Precision Ag - Innovation","320","14","2015-06-07"
"Agronomy - SW3","323","14","2015-06-07"
"Agronomy SW4N","573","14","2015-06-07"
"Agronomy - NE7","578","14","2015-06-07"
"Agronomy - SW1","322","15","2015-06-08"
"Spider Ag Cover Crop/Quick Roots Trial","332","15","2015-06-08"
"Across from Bins","569","15","2015-06-08"
"Across Road from Bins","570","15","2015-06-08"
"Agronomy - SW5","576","15","2015-06-08"
"K-State East","330","18","2015-06-11"
"Agronomy - SW4","321","23","2015-06-16"
