"name","fieldID","dayTill","Imaging-Date"
"Mike's","635","8","2015-06-05"
"Joe-40","667","8","2015-06-05"
"Home","599","9","2015-06-06"
"E 14-27-24 #11","1626","9","2015-06-06"
"NE 15-27-24 #9","1627","9","2015-06-06"
"Sittie","1632","9","2015-06-06"
"Martin #4","1637","9","2015-06-06"
"#2G","1639","9","2015-06-06"
"#1","1645","9","2015-06-06"
"Don's","661","10","2015-06-07"
"Margeret #3","1636","10","2015-06-07"
"#19B","1638","10","2015-06-07"
"Irwin","653","11","2015-06-08"
"Erling","1007","11","2015-06-08"
"#21","1642","11","2015-06-08"
"#21","1643","11","2015-06-08"
"#21","1644","11","2015-06-08"
"#11","1646","11","2015-06-08"
"Patterson Ranch- South Bottom","336","11","2015-06-08"
"K-State West","331","11","2015-06-08"
"Jim Home North","591","11","2015-06-08"
"Jim Home South","592","11","2015-06-08"
"Jim North","593","11","2015-06-08"
"Esther East","594","11","2015-06-08"
"Jim Home North","595","11","2015-06-08"
"Mudd Creek corn 2015","986","11","2015-06-08"
"The 90","652","11","2015-06-08"
"Bishop","651","12","2015-06-09"
"N. Doran","1633","12","2015-06-09"
"S. Doran","1634","12","2015-06-09"
"HQ - NE","1011","12","2015-06-09"
"Farmers Drive","1023","12","2015-06-09"
"Barrett 40","1021","12","2015-06-09"
"2092-BAILEY WEST","388","12","2015-06-09"
"3208-STOOKEY","395","12","2015-06-09"
"3250-BAILEY HOME","396","12","2015-06-09"
"3249-POLK WEBSTER","479","12","2015-06-09"
"Leroy/Hamann","658","12","2015-06-09"
"Graves","664","13","2015-06-10"
"Kyle's","614","13","2015-06-10"
"Kreiger","678","13","2015-06-10"
"Houston","1631","13","2015-06-10"
"S Bottom 158","1014","13","2015-06-10"
"Hibbard North","1015","13","2015-06-10"
"SAX-2010","1016","13","2015-06-10"
"3218-BAUM","438","13","2015-06-10"
"Home","608","14","2015-06-11"
"N-120","611","14","2015-06-11"
"Home","634","14","2015-06-11"
"Tom Wilson","1630","14","2015-06-11"
"#7","1641","14","2015-06-11"
"E Hammonds 92","1012","14","2015-06-11"
"S Hoopers 123","1013","14","2015-06-11"
"Morris East","1018","14","2015-06-11"
"DOR-1","1022","14","2015-06-11"
"Hall","1024","14","2015-06-11"
"Blue Grass","645","14","2015-06-11"
"Home","655","14","2015-06-11"
"Hoke","648","14","2015-06-11"
"Rock","1001","14","2015-06-11"
"Jansen","668","14","2015-06-11"
"Oaks","663","15","2015-06-12"
"Block","600","15","2015-06-12"
"Home","604","15","2015-06-12"
"Home","612","15","2015-06-12"
"Home/Jansen","615","15","2015-06-12"
"Home","618","15","2015-06-12"
"Gordon","633","15","2015-06-12"
"Swedsbung","666","15","2015-06-12"
"Lee","998","15","2015-06-12"
"Frye","617","15","2015-06-12"
"Allen's","654","15","2015-06-12"
"Lee's South","656","15","2015-06-12"
"Bachus","641","16","2015-06-13"
"Tucker corn 2015","988","16","2015-06-13"
"Meyer","646","16","2015-06-13"
"Schmalz","598","16","2015-06-13"
"N-80","620","16","2015-06-13"
"Elvira","650","16","2015-06-13"
"South Corn","580","16","2015-06-13"
"2131-BURBRINK","365","16","2015-06-13"
"2132-ROWLAND","491","16","2015-06-13"
"Wisconsin","616","16","2015-06-13"
"George's","619","16","2015-06-13"
"Irwins","662","16","2015-06-13"
"Emery","609","16","2015-06-13"
"Reeds","610","16","2015-06-13"
"Baustian","613","17","2015-06-14"
"Home","997","17","2015-06-14"
"Jason Spain","1000","17","2015-06-14"
"Dads","1002","17","2015-06-14"
