"name","fieldID","dayTill","Imaging-Date"
"Springfield-IL","283","39","2015-06-22"
"Kilbourne-IL","282","41","2015-06-24"
"FtBranch-IN","293","41","2015-06-24"
"Trenton-IL","285","42","2015-06-25"
"Macomb-IL","287","42","2015-06-25"
"CerroGordo-IL","289","43","2015-06-26"
"Shipman-IL","290","43","2015-06-26"
"BowlingGreen-MO","272","44","2015-06-27"
"Mike's","635","44","2015-06-27"
"Joe-40","667","44","2015-06-27"
"Perrysville-IN","294","45","2015-06-28"
"Richland-IA","277","46","2015-06-29"
"Philo-IL","284","46","2015-06-29"
"Effingham-IL","286","46","2015-06-29"
"Austin-IN","297","46","2015-06-29"
"Franklin-IN","304","46","2015-06-29"
"Waco-NE","251","47","2015-06-30"
"Farmersburg-IN","296","47","2015-06-30"
"3249-POLK WEBSTER","479","47","2015-06-30"
"Dorchester-NE","255","48","2015-07-01"
"Hiawatha-KS","273","48","2015-07-01"
"Stanwood-IA","281","48","2015-07-01"
"2092-BAILEY WEST","388","48","2015-07-01"
"3208-STOOKEY","395","48","2015-07-01"
"3250-BAILEY HOME","396","48","2015-07-01"
"3218-BAUM","438","48","2015-07-01"
"Home","634","49","2015-07-02"
"Demotte-IN","300","51","2015-07-04"
"2131-BURBRINK","365","51","2015-07-04"
"2132-ROWLAND","491","51","2015-07-04"
"Jansen","668","51","2015-07-04"
"Blencoe-IA","229","52","2015-07-05"
"SiouxCenter-IA","233","52","2015-07-05"
"Pella-IA","278","52","2015-07-05"
"2091-BAILEY","363","52","2015-07-05"
"KTNW & KTNE","636","52","2015-07-05"
"Holdrege-NE","219","53","2015-07-06"
"Aurora","256","53","2015-07-06"
"NorthBend","258","53","2015-07-06"
"Wakefield","249","54","2015-07-07"
"Albion","253","54","2015-07-07"
"Betty's","625","54","2015-07-07"
"Robert Grossman","628","54","2015-07-07"
"Larry Jr. Farm","632","54","2015-07-07"
"Platteville-WI","224","56","2015-07-09"
"Plainview","259","56","2015-07-09"
"Elgin-MN","261","56","2015-07-09"
"Arcadia-IA","274","56","2015-07-09"
"Janesville-WI","223","57","2015-07-10"
"Vincent-IA","234","57","2015-07-10"
"Creston-IA","279","57","2015-07-10"
"Worthington-MN","230","58","2015-07-11"
"Mitchell-SD","232","58","2015-07-11"
"Truman-MN","268","58","2015-07-11"
"Home Farm Split","626","58","2015-07-11"
"North Platte-NE","220","59","2015-07-12"
"Sanborn-MN","262","59","2015-07-12"
"Henderson-MN","263","59","2015-07-12"
"Pocahontas-IA","237","60","2015-07-13"
"Hayfield-MN","265","60","2015-07-13"
"Danube-MN","264","61","2015-07-14"
"Britt-IA","236","62","2015-07-15"
"Menomonie-WI","221","64","2015-07-17"
"BeaverDam-WI","225","64","2015-07-17"
"BrownsValley-MN","244","64","2015-07-17"
"Holloway-MN","269","64","2015-07-17"
"Santiago-MN","270","64","2015-07-17"
"Faulkton-SD","312","64","2015-07-17"
"Pierre-SD","317","64","2015-07-17"
"FergusFalls-MN","247","65","2015-07-18"
"Westport-MN","260","65","2015-07-18"
"Almena-WI","222","66","2015-07-19"
"Ulen-MN","245","66","2015-07-19"
"Belgrade-MN","267","66","2015-07-19"
"Watertown-SD","231","67","2015-07-20"
"Strasburg-ND","315","68","2015-07-21"
