"name","fieldID","dayTill","Imaging-Date"
"Springfield-IL","283","-12","2015-05-12"
"Kilbourne-IL","282","-11","2015-05-13"
"Macomb-IL","287","-10","2015-05-14"
"Trenton-IL","285","-7","2015-05-17"
"Shipman-IL","290","-7","2015-05-17"
"BowlingGreen-MO","272","-6","2015-05-18"
"CerroGordo-IL","289","-6","2015-05-18"
"FtBranch-IN","293","-6","2015-05-18"
"Perrysville-IN","294","-6","2015-05-18"
"Waco-NE","251","-5","2015-05-19"
"Richland-IA","277","-5","2015-05-19"
"Stanwood-IA","281","-4","2015-05-20"
"Philo-IL","284","-4","2015-05-20"
"Austin-IN","297","-2","2015-05-22"
"Effingham-IL","286","-1","2015-05-23"
"Demotte-IN","300","-1","2015-05-23"
"Franklin-IN","304","-1","2015-05-23"
"Dorchester-NE","255","0","2015-05-24"
"SiouxCenter-IA","233","1","2015-05-25"
"Hiawatha-KS","273","1","2015-05-25"
"Blencoe-IA","229","2","2015-05-26"
"Pella-IA","278","2","2015-05-26"
"Farmersburg-IN","296","2","2015-05-26"
"Holdrege-NE","219","5","2015-05-29"
"Janesville-WI","223","5","2015-05-29"
"Albion","253","5","2015-05-29"
"NorthBend","258","5","2015-05-29"
"Platteville-WI","224","7","2015-05-31"
"Wakefield","249","7","2015-05-31"
"Aurora","256","7","2015-05-31"
"Arcadia-IA","274","7","2015-05-31"
"Plainview","259","8","2015-06-01"
"Elgin-MN","261","8","2015-06-01"
"Worthington-MN","230","9","2015-06-02"
"Vincent-IA","234","9","2015-06-02"
"Truman-MN","268","9","2015-06-02"
"Mitchell-SD","232","10","2015-06-03"
"Sanborn-MN","262","10","2015-06-03"
"Henderson-MN","263","10","2015-06-03"
"Hayfield-MN","265","10","2015-06-03"
"North Platte-NE","220","11","2015-06-04"
"Creston-IA","279","11","2015-06-04"
"BrownsValley-MN","244","12","2015-06-05"
"Danube-MN","264","12","2015-06-05"
"Osco-IL","288","12","2015-06-05"
"BeaverDam-WI","225","13","2015-06-06"
"Santiago-MN","270","13","2015-06-06"
"Pierre-SD","317","13","2015-06-06"
"Menomonie-WI","221","14","2015-06-07"
"Britt-IA","236","14","2015-06-07"
"Pocahontas-IA","237","14","2015-06-07"
"FergusFalls-MN","247","14","2015-06-07"
"Westport-MN","260","14","2015-06-07"
"Lafayette-IN","301","14","2015-06-07"
"Faulkton-SD","312","14","2015-06-07"
"CharlesCity-IA","275","15","2015-06-08"
"Manchester-IA","280","15","2015-06-08"
"Almena-WI","222","16","2015-06-09"
"Ulen-MN","245","16","2015-06-09"
"Belgrade-MN","267","16","2015-06-09"
"Holloway-MN","269","16","2015-06-09"
"TroyGrove-IL","291","17","2015-06-10"
"Strasburg-ND","315","17","2015-06-10"
"Watertown-SD","231","18","2015-06-11"
"DeKalb-IL","292","18","2015-06-11"
"Ainsworth-NE","257","19","2015-06-12"
