"name","fieldID","dayTill","Imaging-Date"
"Field 1 ","326","-9","2015-05-16"
"Joe-40","667","-8","2015-05-17"
"Home","599","-8","2015-05-17"
"Mike's","635","-7","2015-05-18"
"Sittie","1632","-6","2015-05-19"
"Don's","661","-6","2015-05-19"
"NE 15-27-24 #9","1627","-4","2015-05-21"
"Erling","1007","-3","2015-05-22"
"The 90","652","-3","2015-05-22"
"Mudd Creek corn 2015","986","-3","2015-05-22"
"#1","1645","-2","2015-05-23"
"Bishop","651","-2","2015-05-23"
"Irwin","653","-2","2015-05-23"
"Leroy/Hamann","658","-2","2015-05-23"
"E 14-27-24 #11","1626","-2","2015-05-23"
"#2G","1639","-2","2015-05-23"
"2092-BAILEY WEST","388","-2","2015-05-23"
"3208-STOOKEY","395","-2","2015-05-23"
"3250-BAILEY HOME","396","-2","2015-05-23"
"3249-POLK WEBSTER","479","-2","2015-05-23"
"Jim Home North","591","-1","2015-05-24"
"Jim Home South","592","-1","2015-05-24"
"Jim Home North","595","-1","2015-05-24"
"#19B","1638","-1","2015-05-24"
"Drew House","334","-1","2015-05-24"
"K-State West","331","-1","2015-05-24"
"K State West","333","-1","2015-05-24"
"Patterson Ranch- South Bottom","336","-1","2015-05-24"
"Jim North","593","-1","2015-05-24"
"Esther East","594","-1","2015-05-24"
"HQ - NE","1011","0","2015-05-25"
"Farmers Drive","1023","0","2015-05-25"
"#21","1642","0","2015-05-25"
"#21","1643","0","2015-05-25"
"#21","1644","0","2015-05-25"
"Jansen","668","0","2015-05-25"
"Graves","664","0","2015-05-25"
"3218-BAUM","438","0","2015-05-25"
"Kyle's","614","0","2015-05-25"
"Blue Grass","645","0","2015-05-25"
"Barrett 40","1021","1","2015-05-26"
"Home","655","1","2015-05-26"
"#11","1646","1","2015-05-26"
"Home","608","1","2015-05-26"
"Corn Field 1","676","1","2015-05-26"
"Corn Field 1","897","1","2015-05-26"
"Rock","1001","1","2015-05-26"
"S. Doran","1634","1","2015-05-26"
"S Bottom 158","1014","1","2015-05-26"
"Hibbard North","1015","1","2015-05-26"
"N-120","611","1","2015-05-26"
"Hoke","648","1","2015-05-26"
"Kreiger","678","1","2015-05-26"
"Home","634","2","2015-05-27"
"SAX-2010","1016","2","2015-05-27"
"Lee","998","2","2015-05-27"
"E Hammonds 92","1012","3","2015-05-28"
"S Hoopers 123","1013","3","2015-05-28"
"Allen's","654","3","2015-05-28"
"Home","604","3","2015-05-28"
"Frye","617","3","2015-05-28"
"Oaks","663","3","2015-05-28"
"N. Doran","1633","3","2015-05-28"
"Block","600","3","2015-05-28"
"Home","612","3","2015-05-28"
"Home","618","3","2015-05-28"
"DOR-1","1022","4","2015-05-29"
"Hall","1024","4","2015-05-29"
"Home/Jansen","615","4","2015-05-29"
"Lee's South","656","4","2015-05-29"
"Schmalz","598","4","2015-05-29"
"Emery","609","4","2015-05-29"
"Reeds","610","4","2015-05-29"
"N-80","620","4","2015-05-29"
"George's","619","4","2015-05-29"
"Gordon","633","4","2015-05-29"
"Swedsbung","666","4","2015-05-29"
"Westcott/Rebuhn","586","4","2015-05-29"
"Bachus","641","4","2015-05-29"
"Meyer","646","4","2015-05-29"
"Tucker corn 2015","988","4","2015-05-29"
"2131-BURBRINK","365","4","2015-05-29"
"2132-ROWLAND","491","4","2015-05-29"
"Irwins","662","5","2015-05-30"
"Baustian","613","5","2015-05-30"
"Peterson","585","5","2015-05-30"
"Jason Spain","1000","5","2015-05-30"
"Elvira","650","5","2015-05-30"
"Lone Tree 9","587","5","2015-05-30"
"Wisconsin","616","5","2015-05-30"
"2091-BAILEY","363","5","2015-05-30"
"Dads","1002","6","2015-05-31"
"Hoover/Wagner North","584","6","2015-05-31"
"Tom Wilson","1630","6","2015-05-31"
"Houston","1631","6","2015-05-31"
"Lowden","601","7","2015-06-01"
"Chubbies","996","7","2015-06-01"
"Home","997","7","2015-06-01"
"Frank's","657","7","2015-06-01"
"Barber","1004","7","2015-06-01"
"Home","1008","7","2015-06-01"
"KTNW & KTNE","636","7","2015-06-01"
"Stevenson corn 2015","990","7","2015-06-01"
"House","327","7","2015-06-01"
"North Field","579","8","2015-06-02"
"South Corn","580","8","2015-06-02"
"#7","1641","8","2015-06-02"
"Betty's","625","8","2015-06-02"
"Robert Grossman","628","8","2015-06-02"
"Banowetz South","602","8","2015-06-02"
"Doyle","603","8","2015-06-02"
"Curtis","605","8","2015-06-02"
"Hofer","607","8","2015-06-02"
"Pithan East","999","8","2015-06-02"
"Larry Jr. Farm","632","8","2015-06-02"
"W-150","597","9","2015-06-03"
"Joice","640","9","2015-06-03"
"Larry Jr. corn 2015","1010","9","2015-06-03"
"Pitts 5","582","9","2015-06-03"
"Pitts 5","583","9","2015-06-03"
"Grell Farm","627","9","2015-06-03"
"Humboldt Farm","354","10","2015-06-04"
"Apple Field 1","679","10","2015-06-04"
"Apple Field 2","680","10","2015-06-04"
"Boehnke Split","621","10","2015-06-04"
