"name","fieldID","dayTill","Imaging-Date"
"2092-BAILEY WEST","388","0","2015-05-14"
"3208-STOOKEY","395","0","2015-05-14"
"3250-BAILEY HOME","396","0","2015-05-14"
"3218-BAUM","438","0","2015-05-14"
"3249-POLK WEBSTER","479","0","2015-05-14"
"Mike's","635","0","2015-05-14"
"Joe-40","667","0","2015-05-14"
"Jansen","668","1","2015-05-15"
"2131-BURBRINK","365","5","2015-05-19"
"2132-ROWLAND","491","5","2015-05-19"
"Home","634","5","2015-05-19"
"2091-BAILEY","363","6","2015-05-20"
"KTNW & KTNE","636","7","2015-05-21"
"Betty's","625","8","2015-05-22"
"Robert Grossman","628","8","2015-05-22"
"Larry Jr. Farm","632","8","2015-05-22"
"Home Farm Split","626","10","2015-05-24"
