"name","fieldID","dayTill","Imaging-Date"
"Springfield-IL","283","-13","2015-05-12"
"Kilbourne-IL","282","-12","2015-05-13"
"Macomb-IL","287","-11","2015-05-14"
"Trenton-IL","285","-8","2015-05-17"
"Shipman-IL","290","-8","2015-05-17"
"CerroGordo-IL","289","-7","2015-05-18"
"BowlingGreen-MO","272","-7","2015-05-18"
"FtBranch-IN","293","-7","2015-05-18"
"Perrysville-IN","294","-7","2015-05-18"
"Waco-NE","251","-6","2015-05-19"
"Richland-IA","277","-6","2015-05-19"
"Philo-IL","284","-5","2015-05-20"
"Stanwood-IA","281","-5","2015-05-20"
"Effingham-IL","286","-2","2015-05-23"
"Austin-IN","297","-2","2015-05-23"
"Franklin-IN","304","-2","2015-05-23"
"Dorchester-NE","255","-1","2015-05-24"
"Demotte-IN","300","-1","2015-05-24"
"Blencoe-IA","229","0","2015-05-25"
"Hiawatha-KS","273","0","2015-05-25"
"SiouxCenter-IA","233","0","2015-05-25"
"Farmersburg-IN","296","1","2015-05-26"
"Pella-IA","278","1","2015-05-26"
"Holdrege-NE","219","3","2015-05-28"
"Albion","253","3","2015-05-28"
"Worthington-MN","230","4","2015-05-29"
"Aurora","256","4","2015-05-29"
"NorthBend","258","4","2015-05-29"
"Arcadia-IA","274","4","2015-05-29"
"Janesville-WI","223","5","2015-05-30"
"Mitchell-SD","232","5","2015-05-30"
"Wakefield","249","5","2015-05-30"
"Platteville-WI","224","5","2015-05-30"
"Elgin-MN","261","7","2015-06-01"
"Vincent-IA","234","8","2015-06-02"
"Plainview","259","8","2015-06-02"
"Sanborn-MN","262","8","2015-06-02"
"Hayfield-MN","265","9","2015-06-03"
"Truman-MN","268","9","2015-06-03"
"Henderson-MN","263","10","2015-06-04"
"Danube-MN","264","10","2015-06-04"
"North Platte-NE","220","10","2015-06-04"
"Creston-IA","279","11","2015-06-05"
"Osco-IL","288","11","2015-06-05"
"Santiago-MN","270","12","2015-06-06"
"Pierre-SD","317","12","2015-06-06"
"BrownsValley-MN","244","12","2015-06-06"
"BeaverDam-WI","225","13","2015-06-07"
"FergusFalls-MN","247","13","2015-06-07"
"Faulkton-SD","312","13","2015-06-07"
"Pocahontas-IA","237","13","2015-06-07"
"Menomonie-WI","221","14","2015-06-08"
"Manchester-IA","280","14","2015-06-08"
"Britt-IA","236","14","2015-06-08"
"Westport-MN","260","14","2015-06-08"
"Almena-WI","222","15","2015-06-09"
"CharlesCity-IA","275","15","2015-06-09"
"Lafayette-IN","301","15","2015-06-09"
"Holloway-MN","269","15","2015-06-09"
"Ulen-MN","245","15","2015-06-09"
"Strasburg-ND","315","16","2015-06-10"
"Belgrade-MN","267","16","2015-06-10"
"TroyGrove-IL","291","17","2015-06-11"
"Ainsworth-NE","257","18","2015-06-12"
"Watertown-SD","231","18","2015-06-12"
"DeKalb-IL","292","18","2015-06-12"
