"name","fieldID","dayTill","Imaging-Date"
"NE 15-27-24 #9","1627","30","2015-06-27"
"E 14-27-24 #11","1626","31","2015-06-28"
"Sittie","1632","31","2015-06-28"
"Martin #4","1637","31","2015-06-28"
"#2G","1639","31","2015-06-28"
"#1","1645","31","2015-06-28"
"Margeret #3","1636","32","2015-06-29"
"#19B","1638","32","2015-06-29"
"#21","1642","32","2015-06-29"
"#21","1643","32","2015-06-29"
"#21","1644","32","2015-06-29"
"Home","599","33","2015-06-30"
"Mike's","635","33","2015-06-30"
"Joe-40","667","33","2015-06-30"
"S. Doran","1634","33","2015-06-30"
"#11","1646","33","2015-06-30"
"K-State West","331","33","2015-06-30"
"Jim Home North","591","33","2015-06-30"
"Jim Home South","592","33","2015-06-30"
"Jim North","593","33","2015-06-30"
"Jim Home North","595","33","2015-06-30"
"N. Doran","1633","34","2015-07-01"
"Patterson Ranch- South Bottom","336","34","2015-07-01"
"HQ - NE","1011","34","2015-07-01"
"Farmers Drive","1023","34","2015-07-01"
"Esther East","594","34","2015-07-01"
"Don's","661","35","2015-07-02"
"Houston","1631","35","2015-07-02"
"#7","1641","35","2015-07-02"
"S Bottom 158","1014","35","2015-07-02"
"Hibbard North","1015","35","2015-07-02"
"SAX-2010","1016","35","2015-07-02"
"Barrett 40","1021","35","2015-07-02"
"Mudd Creek corn 2015","986","35","2015-07-02"
"Bishop","651","36","2015-07-03"
"Irwin","653","36","2015-07-03"
"Erling","1007","36","2015-07-03"
"Kreiger","678","36","2015-07-03"
"Tom Wilson","1630","36","2015-07-03"
"E Hammonds 92","1012","36","2015-07-03"
"S Hoopers 123","1013","36","2015-07-03"
"Morris East","1018","36","2015-07-03"
"DOR-1","1022","36","2015-07-03"
"Hall","1024","36","2015-07-03"
"The 90","652","36","2015-07-03"
"Graves","664","37","2015-07-04"
"Kyle's","614","37","2015-07-04"
"Home","634","37","2015-07-04"
"2092-BAILEY WEST","388","37","2015-07-04"
"3208-STOOKEY","395","37","2015-07-04"
"3250-BAILEY HOME","396","37","2015-07-04"
"3249-POLK WEBSTER","479","37","2015-07-04"
"Leroy/Hamann","658","37","2015-07-04"
"Home","608","38","2015-07-05"
"N-120","611","38","2015-07-05"
"3218-BAUM","438","38","2015-07-05"
"Blue Grass","645","38","2015-07-05"
"Oaks","663","39","2015-07-06"
"Schmalz","598","39","2015-07-06"
"Block","600","39","2015-07-06"
"Home","604","39","2015-07-06"
"Home","612","39","2015-07-06"
"Gordon","633","39","2015-07-06"
"Swedsbung","666","39","2015-07-06"
"South Corn","580","39","2015-07-06"
"Lee","998","39","2015-07-06"
"Allen's","654","39","2015-07-06"
"Home","655","39","2015-07-06"
"Hoke","648","39","2015-07-06"
"Rock","1001","39","2015-07-06"
"Bachus","641","40","2015-07-07"
"Tucker corn 2015","988","40","2015-07-07"
"Meyer","646","40","2015-07-07"
"Home/Jansen","615","40","2015-07-07"
"Home","618","40","2015-07-07"
"N-80","620","40","2015-07-07"
"Elvira","650","40","2015-07-07"
"Jason Spain","1000","40","2015-07-07"
"KTNW & KTNE","636","40","2015-07-07"
"North Field","579","40","2015-07-07"
"2131-BURBRINK","365","40","2015-07-07"
"2132-ROWLAND","491","40","2015-07-07"
"Wisconsin","616","40","2015-07-07"
"Frye","617","40","2015-07-07"
"George's","619","40","2015-07-07"
"Lee's South","656","40","2015-07-07"
"Irwins","662","40","2015-07-07"
"Stevenson corn 2015","990","40","2015-07-07"
"Emery","609","40","2015-07-07"
"Reeds","610","40","2015-07-07"
"Jansen","668","40","2015-07-07"
"Baustian","613","41","2015-07-08"
"Chubbies","996","41","2015-07-08"
"Home","997","41","2015-07-08"
"Dads","1002","41","2015-07-08"
