"name","fieldID","dayTill","Imaging-Date"
"Springfield-IL","283","40","2015-06-22"
"Kilbourne-IL","282","42","2015-06-24"
"FtBranch-IN","293","42","2015-06-24"
"Trenton-IL","285","43","2015-06-25"
"Macomb-IL","287","43","2015-06-25"
"Shipman-IL","290","44","2015-06-26"
"CerroGordo-IL","289","45","2015-06-27"
"BowlingGreen-MO","272","46","2015-06-28"
"Philo-IL","284","46","2015-06-28"
"Richland-IA","277","47","2015-06-29"
"Effingham-IL","286","47","2015-06-29"
"Franklin-IN","304","47","2015-06-29"
"2084-SMITH","433","47","2015-06-29"
"2084S-DEETER","497","47","2015-06-29"
"Waco-NE","251","48","2015-06-30"
"Hiawatha-KS","273","48","2015-06-30"
"Farmersburg-IN","296","48","2015-06-30"
"Austin-IN","297","48","2015-06-30"
"2105-MORGAN","372","48","2015-06-30"
"2096-WILLIAMS","391","48","2015-06-30"
"2098-AIRPORT NORTH","462","48","2015-06-30"
"2095-AIRPORT WILLIAMS","489","48","2015-06-30"
"Dorchester-NE","255","49","2015-07-01"
"Stanwood-IA","281","49","2015-07-01"
"2117-NEFF SYRACUSE","368","49","2015-07-01"
"2092-BAILEY WEST","388","49","2015-07-01"
"3208-STOOKEY","395","49","2015-07-01"
"3250-BAILEY HOME","396","49","2015-07-01"
"2109-FISHER GRAVEL PIT","397","49","2015-07-01"
"3218-BAUM","438","49","2015-07-01"
"2110-FISHER SYRACUSE","446","49","2015-07-01"
"3249-POLK WEBSTER","479","49","2015-07-01"
"2087-TOM N","385","51","2015-07-03"
"2108-FISHER DEWART LAKE","448","51","2015-07-03"
"Pella-IA","278","52","2015-07-04"
"2131-BURBRINK","365","52","2015-07-04"
"2101-FISHER CLAY","366","52","2015-07-04"
"2124-FISHER DL WEST","379","52","2015-07-04"
"2128-MARTINWOOD","405","52","2015-07-04"
"2100-FISHER MUCK","477","52","2015-07-04"
"2132-ROWLAND","491","52","2015-07-04"
"Blencoe-IA","229","53","2015-07-05"
"SiouxCenter-IA","233","53","2015-07-05"
"2120-POLK VANDERMARK","356","53","2015-07-05"
"2127-MARTINWOOD","357","53","2015-07-05"
"2091-BAILEY","363","53","2015-07-05"
"2118-BENDINA NORTH","392","53","2015-07-05"
"2082-NUSSBAUM","414","53","2015-07-05"
"2099-MARTIN DUTCHTOWN","452","53","2015-07-05"
"Holdrege-NE","219","54","2015-07-06"
"Aurora","256","54","2015-07-06"
"NorthBend","258","54","2015-07-06"
"Albion","253","55","2015-07-07"
"Wakefield","249","56","2015-07-08"
"Janesville-WI","223","57","2015-07-09"
"Platteville-WI","224","57","2015-07-09"
"Plainview","259","57","2015-07-09"
"Elgin-MN","261","57","2015-07-09"
"Arcadia-IA","274","57","2015-07-09"
"Vincent-IA","234","58","2015-07-10"
"Truman-MN","268","58","2015-07-10"
"Creston-IA","279","58","2015-07-10"
"North Platte-NE","220","59","2015-07-11"
"Worthington-MN","230","59","2015-07-11"
"Mitchell-SD","232","59","2015-07-11"
"Sanborn-MN","262","60","2015-07-12"
"Henderson-MN","263","60","2015-07-12"
"Hayfield-MN","265","60","2015-07-12"
"Pocahontas-IA","237","61","2015-07-13"
"Menomonie-WI","221","63","2015-07-15"
"Britt-IA","236","63","2015-07-15"
"BeaverDam-WI","225","64","2015-07-16"
"BrownsValley-MN","244","65","2015-07-17"
"FergusFalls-MN","247","65","2015-07-17"
"Almena-WI","222","67","2015-07-19"
"Watertown-SD","231","67","2015-07-19"
"Ulen-MN","245","67","2015-07-19"
