"Field Name","Field ID","Plant Date","Days from Plant to Imaging Period","Days from Current Day until Imaging event","Predicted Date of Imaging Event","Imaging Event Name"
"SiouxCenter-IA","233","2015-04-17","27","0","2015-05-14","Stand Count"
"Waco-NE","251","2015-04-16","28","0","2015-05-14","Stand Count"
"Dorchester-NE","255","2015-04-22","22","0","2015-05-14","Stand Count"
"Elgin-MN","261","2015-04-17","27","0","2015-05-14","Stand Count"
"BowlingGreen-MO","272","2015-04-28","16","0","2015-05-14","Stand Count"
"Richland-IA","277","2015-04-17","27","0","2015-05-14","Stand Count"
"Stanwood-IA","281","2015-04-16","28","0","2015-05-14","Stand Count"
"Kilbourne-IL","282","2015-04-15","29","0","2015-05-14","Stand Count"
"Springfield-IL","283","2015-04-14","30","0","2015-05-14","Stand Count"
"Philo-IL","284","2015-04-30","14","0","2015-05-14","Stand Count"
"Trenton-IL","285","2015-04-29","15","0","2015-05-14","Stand Count"
"Effingham-IL","286","2015-05-05","9","0","2015-05-14","Stand Count"
"Macomb-IL","287","2015-04-16","28","0","2015-05-14","Stand Count"
"CerroGordo-IL","289","2015-04-23","21","0","2015-05-14","Stand Count"
"Shipman-IL","290","2015-04-28","16","0","2015-05-14","Stand Count"
"FtBranch-IN","293","2015-05-01","13","0","2015-05-14","Stand Count"
"Perrysville-IN","294","2015-04-29","15","0","2015-05-14","Stand Count"
"Austin-IN","297","2015-05-05","9","0","2015-05-14","Stand Count"
"Demotte-IN","300","2015-04-28","16","0","2015-05-14","Stand Count"
"Franklin-IN","304","2015-05-04","10","0","2015-05-14","Stand Count"
"Hiawatha-KS","273","2015-05-01","15","2","2015-05-16","Stand Count"
"Pella-IA","278","2015-04-30","16","2","2015-05-16","Stand Count"
"Blencoe-IA","229","2015-04-27","20","3","2015-05-17","Stand Count"
"Farmersburg-IN","296","2015-05-07","10","3","2015-05-17","Stand Count"
"Holdrege-NE","219","2015-04-28","20","4","2015-05-18","Stand Count"
"Worthington-MN","230","2015-04-23","25","4","2015-05-18","Stand Count"
"Wakefield","249","2015-04-29","19","4","2015-05-18","Stand Count"
"Albion","253","2015-04-27","21","4","2015-05-18","Stand Count"
"Arcadia-IA","274","2015-04-29","19","4","2015-05-18","Stand Count"
"NorthBend","258","2015-04-30","19","5","2015-05-19","Stand Count"
"Plainview","259","2015-04-29","20","5","2015-05-19","Stand Count"
"Sanborn-MN","262","2015-04-27","22","5","2015-05-19","Stand Count"
"Henderson-MN","263","2015-04-23","26","5","2015-05-19","Stand Count"
"Truman-MN","268","2015-04-28","21","5","2015-05-19","Stand Count"
"Janesville-WI","223","2015-04-29","21","6","2015-05-20","Stand Count"
"Platteville-WI","224","2015-04-30","20","6","2015-05-20","Stand Count"
"Vincent-IA","234","2015-05-01","19","6","2015-05-20","Stand Count"
"Aurora","256","2015-05-01","19","6","2015-05-20","Stand Count"
"Hayfield-MN","265","2015-04-28","22","6","2015-05-20","Stand Count"
"Mitchell-SD","232","2015-05-01","20","7","2015-05-21","Stand Count"
"Danube-MN","264","2015-04-29","22","7","2015-05-21","Stand Count"
"BrownsValley-MN","244","2015-04-28","25","9","2015-05-23","Stand Count"
"Santiago-MN","270","2015-04-30","23","9","2015-05-23","Stand Count"
"North Platte-NE","220","2015-05-01","23","10","2015-05-24","Stand Count"
"FergusFalls-MN","247","2015-04-29","25","10","2015-05-24","Stand Count"
"Westport-MN","260","2015-05-01","23","10","2015-05-24","Stand Count"
"Faulkton-SD","312","2015-04-30","24","10","2015-05-24","Stand Count"
"Pierre-SD","317","2015-04-29","25","10","2015-05-24","Stand Count"
"Menomonie-WI","221","2015-05-05","20","11","2015-05-25","Stand Count"
"Ulen-MN","245","2015-04-30","25","11","2015-05-25","Stand Count"
"Creston-IA","279","2015-05-08","17","11","2015-05-25","Stand Count"
"Almena-WI","222","2015-05-05","21","12","2015-05-26","Stand Count"
"Pocahontas-IA","237","2015-05-08","18","12","2015-05-26","Stand Count"
"Belgrade-MN","267","2015-05-04","22","12","2015-05-26","Stand Count"
"Strasburg-ND","315","2015-05-01","25","12","2015-05-26","Stand Count"
"BeaverDam-WI","225","2015-05-08","19","13","2015-05-27","Stand Count"
"Britt-IA","236","2015-05-09","18","13","2015-05-27","Stand Count"
"Holloway-MN","269","2015-05-05","22","13","2015-05-27","Stand Count"
"Watertown-SD","231","2015-05-05","24","15","2015-05-29","Stand Count"
"","","","","","",""
"2092-BAILEY WEST","388","2015-04-17","27","0","2015-05-14","First Vegetative"
"3208-STOOKEY","395","2015-04-17","27","0","2015-05-14","First Vegetative"
"3250-BAILEY HOME","396","2015-04-17","27","0","2015-05-14","First Vegetative"
"3218-BAUM","438","2015-04-18","26","0","2015-05-14","First Vegetative"
"3249-POLK WEBSTER","479","2015-04-17","27","0","2015-05-14","First Vegetative"
"Mike's","635","2015-04-17","27","0","2015-05-14","First Vegetative"
"Joe-40","667","2015-04-15","29","0","2015-05-14","First Vegetative"
"Jansen","668","2015-04-16","29","1","2015-05-15","First Vegetative"
"2131-BURBRINK","365","2015-05-02","17","5","2015-05-19","First Vegetative"
"2132-ROWLAND","491","2015-05-02","17","5","2015-05-19","First Vegetative"
"Home","634","2015-04-29","20","5","2015-05-19","First Vegetative"
"2091-BAILEY","363","2015-05-03","17","6","2015-05-20","First Vegetative"
"KTNW & KTNE","636","2015-05-04","17","7","2015-05-21","First Vegetative"
"Betty's","625","2015-04-30","22","8","2015-05-22","First Vegetative"
"Robert Grossman","628","2015-04-30","22","8","2015-05-22","First Vegetative"
"Larry Jr. Farm","632","2015-04-30","22","8","2015-05-22","First Vegetative"
"Home Farm Split","626","2015-05-01","23","10","2015-05-24","First Vegetative"
"","","","","","",""
"Springfield-IL","283","2015-04-14","52","22","2015-06-05","Third Vegetative"
"Kilbourne-IL","282","2015-04-15","52","23","2015-06-06","Third Vegetative"
"Macomb-IL","287","2015-04-16","53","25","2015-06-08","Third Vegetative"
"FtBranch-IN","293","2015-05-01","38","25","2015-06-08","Third Vegetative"
"Trenton-IL","285","2015-04-29","41","26","2015-06-09","Third Vegetative"
"CerroGordo-IL","289","2015-04-23","48","27","2015-06-10","Third Vegetative"
"Shipman-IL","290","2015-04-28","43","27","2015-06-10","Third Vegetative"
"Mike's","635","2015-04-17","54","27","2015-06-10","Third Vegetative"
"Joe-40","667","2015-04-15","56","27","2015-06-10","Third Vegetative"
"BowlingGreen-MO","272","2015-04-28","44","28","2015-06-11","Third Vegetative"
"Perrysville-IN","294","2015-04-29","43","28","2015-06-11","Third Vegetative"
"Richland-IA","277","2015-04-17","56","29","2015-06-12","Third Vegetative"
"Philo-IL","284","2015-04-30","43","29","2015-06-12","Third Vegetative"
"Waco-NE","251","2015-04-16","58","30","2015-06-13","Third Vegetative"
"Effingham-IL","286","2015-05-05","39","30","2015-06-13","Third Vegetative"
"Austin-IN","297","2015-05-05","39","30","2015-06-13","Third Vegetative"
"Franklin-IN","304","2015-05-04","40","30","2015-06-13","Third Vegetative"
"2092-BAILEY WEST","388","2015-04-17","57","30","2015-06-13","Third Vegetative"
"3208-STOOKEY","395","2015-04-17","57","30","2015-06-13","Third Vegetative"
"3250-BAILEY HOME","396","2015-04-17","57","30","2015-06-13","Third Vegetative"
"3218-BAUM","438","2015-04-18","56","30","2015-06-13","Third Vegetative"
"3249-POLK WEBSTER","479","2015-04-17","57","30","2015-06-13","Third Vegetative"
"Stanwood-IA","281","2015-04-16","59","31","2015-06-14","Third Vegetative"
"Farmersburg-IN","296","2015-05-07","38","31","2015-06-14","Third Vegetative"
"Dorchester-NE","255","2015-04-22","54","32","2015-06-15","Third Vegetative"
"Hiawatha-KS","273","2015-05-01","45","32","2015-06-15","Third Vegetative"
"Home","634","2015-04-29","47","32","2015-06-15","Third Vegetative"
"Jansen","668","2015-04-16","61","33","2015-06-16","Third Vegetative"
"SiouxCenter-IA","233","2015-04-17","61","34","2015-06-17","Third Vegetative"
"Demotte-IN","300","2015-04-28","50","34","2015-06-17","Third Vegetative"
"2091-BAILEY","363","2015-05-03","45","34","2015-06-17","Third Vegetative"
"2131-BURBRINK","365","2015-05-02","46","34","2015-06-17","Third Vegetative"
"2132-ROWLAND","491","2015-05-02","46","34","2015-06-17","Third Vegetative"
"Blencoe-IA","229","2015-04-27","52","35","2015-06-18","Third Vegetative"
"Pella-IA","278","2015-04-30","49","35","2015-06-18","Third Vegetative"
"KTNW & KTNE","636","2015-05-04","45","35","2015-06-18","Third Vegetative"
"Holdrege-NE","219","2015-04-28","52","36","2015-06-19","Third Vegetative"
"Aurora","256","2015-05-01","49","36","2015-06-19","Third Vegetative"
"NorthBend","258","2015-04-30","50","36","2015-06-19","Third Vegetative"
"Betty's","625","2015-04-30","50","36","2015-06-19","Third Vegetative"
"Robert Grossman","628","2015-04-30","50","36","2015-06-19","Third Vegetative"
"Larry Jr. Farm","632","2015-04-30","50","36","2015-06-19","Third Vegetative"
"Wakefield","249","2015-04-29","52","37","2015-06-20","Third Vegetative"
"Albion","253","2015-04-27","54","37","2015-06-20","Third Vegetative"
"Elgin-MN","261","2015-04-17","65","38","2015-06-21","Third Vegetative"
"Arcadia-IA","274","2015-04-29","53","38","2015-06-21","Third Vegetative"
"Janesville-WI","223","2015-04-29","54","39","2015-06-22","Third Vegetative"
"Platteville-WI","224","2015-04-30","53","39","2015-06-22","Third Vegetative"
"Vincent-IA","234","2015-05-01","52","39","2015-06-22","Third Vegetative"
"Plainview","259","2015-04-29","54","39","2015-06-22","Third Vegetative"
"Worthington-MN","230","2015-04-23","61","40","2015-06-23","Third Vegetative"
"Truman-MN","268","2015-04-28","56","40","2015-06-23","Third Vegetative"
"Home Farm Split","626","2015-05-01","53","40","2015-06-23","Third Vegetative"
"Mitchell-SD","232","2015-05-01","54","41","2015-06-24","Third Vegetative"
"Sanborn-MN","262","2015-04-27","58","41","2015-06-24","Third Vegetative"
"Creston-IA","279","2015-05-08","47","41","2015-06-24","Third Vegetative"
"North Platte-NE","220","2015-05-01","55","42","2015-06-25","Third Vegetative"
"Henderson-MN","263","2015-04-23","63","42","2015-06-25","Third Vegetative"
"Hayfield-MN","265","2015-04-28","58","42","2015-06-25","Third Vegetative"
"Pocahontas-IA","237","2015-05-08","49","43","2015-06-26","Third Vegetative"
"Britt-IA","236","2015-05-09","49","44","2015-06-27","Third Vegetative"
"Danube-MN","264","2015-04-29","59","44","2015-06-27","Third Vegetative"
"Menomonie-WI","221","2015-05-05","55","46","2015-06-29","Third Vegetative"
"BeaverDam-WI","225","2015-05-08","52","46","2015-06-29","Third Vegetative"
"BrownsValley-MN","244","2015-04-28","62","46","2015-06-29","Third Vegetative"
"Santiago-MN","270","2015-04-30","60","46","2015-06-29","Third Vegetative"
"Pierre-SD","317","2015-04-29","61","46","2015-06-29","Third Vegetative"
"FergusFalls-MN","247","2015-04-29","62","47","2015-06-30","Third Vegetative"
"Westport-MN","260","2015-05-01","60","47","2015-06-30","Third Vegetative"
"Holloway-MN","269","2015-05-05","56","47","2015-06-30","Third Vegetative"
"Faulkton-SD","312","2015-04-30","61","47","2015-06-30","Third Vegetative"
"Almena-WI","222","2015-05-05","57","48","2015-07-01","Third Vegetative"
"Ulen-MN","245","2015-04-30","62","48","2015-07-01","Third Vegetative"
"Belgrade-MN","267","2015-05-04","58","48","2015-07-01","Third Vegetative"
"Watertown-SD","231","2015-05-05","59","50","2015-07-03","Third Vegetative"
"Strasburg-ND","315","2015-05-01","63","50","2015-07-03","Third Vegetative"
"","","","","","",""
"Springfield-IL","283","2015-04-14","69","39","2015-06-22","Fifth Vegetative"
"Kilbourne-IL","282","2015-04-15","70","41","2015-06-24","Fifth Vegetative"
"FtBranch-IN","293","2015-05-01","54","41","2015-06-24","Fifth Vegetative"
"Trenton-IL","285","2015-04-29","57","42","2015-06-25","Fifth Vegetative"
"Macomb-IL","287","2015-04-16","70","42","2015-06-25","Fifth Vegetative"
"CerroGordo-IL","289","2015-04-23","64","43","2015-06-26","Fifth Vegetative"
"Shipman-IL","290","2015-04-28","59","43","2015-06-26","Fifth Vegetative"
"BowlingGreen-MO","272","2015-04-28","60","44","2015-06-27","Fifth Vegetative"
"Mike's","635","2015-04-17","71","44","2015-06-27","Fifth Vegetative"
"Joe-40","667","2015-04-15","73","44","2015-06-27","Fifth Vegetative"
"Perrysville-IN","294","2015-04-29","60","45","2015-06-28","Fifth Vegetative"
"Richland-IA","277","2015-04-17","73","46","2015-06-29","Fifth Vegetative"
"Philo-IL","284","2015-04-30","60","46","2015-06-29","Fifth Vegetative"
"Effingham-IL","286","2015-05-05","55","46","2015-06-29","Fifth Vegetative"
"Austin-IN","297","2015-05-05","55","46","2015-06-29","Fifth Vegetative"
"Franklin-IN","304","2015-05-04","56","46","2015-06-29","Fifth Vegetative"
"Waco-NE","251","2015-04-16","75","47","2015-06-30","Fifth Vegetative"
"Farmersburg-IN","296","2015-05-07","54","47","2015-06-30","Fifth Vegetative"
"3249-POLK WEBSTER","479","2015-04-17","74","47","2015-06-30","Fifth Vegetative"
"Dorchester-NE","255","2015-04-22","70","48","2015-07-01","Fifth Vegetative"
"Hiawatha-KS","273","2015-05-01","61","48","2015-07-01","Fifth Vegetative"
"Stanwood-IA","281","2015-04-16","76","48","2015-07-01","Fifth Vegetative"
"2092-BAILEY WEST","388","2015-04-17","75","48","2015-07-01","Fifth Vegetative"
"3208-STOOKEY","395","2015-04-17","75","48","2015-07-01","Fifth Vegetative"
"3250-BAILEY HOME","396","2015-04-17","75","48","2015-07-01","Fifth Vegetative"
"3218-BAUM","438","2015-04-18","74","48","2015-07-01","Fifth Vegetative"
"Home","634","2015-04-29","64","49","2015-07-02","Fifth Vegetative"
"Demotte-IN","300","2015-04-28","67","51","2015-07-04","Fifth Vegetative"
"2131-BURBRINK","365","2015-05-02","63","51","2015-07-04","Fifth Vegetative"
"2132-ROWLAND","491","2015-05-02","63","51","2015-07-04","Fifth Vegetative"
"Jansen","668","2015-04-16","79","51","2015-07-04","Fifth Vegetative"
"Blencoe-IA","229","2015-04-27","69","52","2015-07-05","Fifth Vegetative"
"SiouxCenter-IA","233","2015-04-17","79","52","2015-07-05","Fifth Vegetative"
"Pella-IA","278","2015-04-30","66","52","2015-07-05","Fifth Vegetative"
"2091-BAILEY","363","2015-05-03","63","52","2015-07-05","Fifth Vegetative"
"KTNW & KTNE","636","2015-05-04","62","52","2015-07-05","Fifth Vegetative"
"Holdrege-NE","219","2015-04-28","69","53","2015-07-06","Fifth Vegetative"
"Aurora","256","2015-05-01","66","53","2015-07-06","Fifth Vegetative"
"NorthBend","258","2015-04-30","67","53","2015-07-06","Fifth Vegetative"
"Wakefield","249","2015-04-29","69","54","2015-07-07","Fifth Vegetative"
"Albion","253","2015-04-27","71","54","2015-07-07","Fifth Vegetative"
"Betty's","625","2015-04-30","68","54","2015-07-07","Fifth Vegetative"
"Robert Grossman","628","2015-04-30","68","54","2015-07-07","Fifth Vegetative"
"Larry Jr. Farm","632","2015-04-30","68","54","2015-07-07","Fifth Vegetative"
"Platteville-WI","224","2015-04-30","70","56","2015-07-09","Fifth Vegetative"
"Plainview","259","2015-04-29","71","56","2015-07-09","Fifth Vegetative"
"Elgin-MN","261","2015-04-17","83","56","2015-07-09","Fifth Vegetative"
"Arcadia-IA","274","2015-04-29","71","56","2015-07-09","Fifth Vegetative"
"Janesville-WI","223","2015-04-29","72","57","2015-07-10","Fifth Vegetative"
"Vincent-IA","234","2015-05-01","70","57","2015-07-10","Fifth Vegetative"
"Creston-IA","279","2015-05-08","63","57","2015-07-10","Fifth Vegetative"
"Worthington-MN","230","2015-04-23","79","58","2015-07-11","Fifth Vegetative"
"Mitchell-SD","232","2015-05-01","71","58","2015-07-11","Fifth Vegetative"
"Truman-MN","268","2015-04-28","74","58","2015-07-11","Fifth Vegetative"
"Home Farm Split","626","2015-05-01","71","58","2015-07-11","Fifth Vegetative"
"North Platte-NE","220","2015-05-01","72","59","2015-07-12","Fifth Vegetative"
"Sanborn-MN","262","2015-04-27","76","59","2015-07-12","Fifth Vegetative"
"Henderson-MN","263","2015-04-23","80","59","2015-07-12","Fifth Vegetative"
"Pocahontas-IA","237","2015-05-08","66","60","2015-07-13","Fifth Vegetative"
"Hayfield-MN","265","2015-04-28","76","60","2015-07-13","Fifth Vegetative"
"Danube-MN","264","2015-04-29","76","61","2015-07-14","Fifth Vegetative"
"Britt-IA","236","2015-05-09","67","62","2015-07-15","Fifth Vegetative"
"Menomonie-WI","221","2015-05-05","73","64","2015-07-17","Fifth Vegetative"
