"Field Name","Field ID","Plant Date","Days from Plant to Imaging Period","Days from Current Day until Imaging event","Predicted Date of Imaging Event","Imaging Event Name"
"BeaverDam-WI","225","2015-05-08","70","64","2015-07-17","Fifth Vegetative"
"BrownsValley-MN","244","2015-04-28","80","64","2015-07-17","Fifth Vegetative"
"Holloway-MN","269","2015-05-05","73","64","2015-07-17","Fifth Vegetative"
"Santiago-MN","270","2015-04-30","78","64","2015-07-17","Fifth Vegetative"
"Faulkton-SD","312","2015-04-30","78","64","2015-07-17","Fifth Vegetative"
"Pierre-SD","317","2015-04-29","79","64","2015-07-17","Fifth Vegetative"
"FergusFalls-MN","247","2015-04-29","80","65","2015-07-18","Fifth Vegetative"
"Westport-MN","260","2015-05-01","78","65","2015-07-18","Fifth Vegetative"
"Almena-WI","222","2015-05-05","75","66","2015-07-19","Fifth Vegetative"
"Ulen-MN","245","2015-04-30","80","66","2015-07-19","Fifth Vegetative"
"Belgrade-MN","267","2015-05-04","76","66","2015-07-19","Fifth Vegetative"
"Watertown-SD","231","2015-05-05","76","67","2015-07-20","Fifth Vegetative"
"Strasburg-ND","315","2015-05-01","81","68","2015-07-21","Fifth Vegetative"
"","","","","","",""
