"name","fieldID","dayTill","Imaging-Date"
"SiouxCenter-IA","233","0","2015-05-14"
"Waco-NE","251","0","2015-05-14"
"Dorchester-NE","255","0","2015-05-14"
"Elgin-MN","261","0","2015-05-14"
"BowlingGreen-MO","272","0","2015-05-14"
"Richland-IA","277","0","2015-05-14"
"Stanwood-IA","281","0","2015-05-14"
"Kilbourne-IL","282","0","2015-05-14"
"Springfield-IL","283","0","2015-05-14"
"Philo-IL","284","0","2015-05-14"
"Trenton-IL","285","0","2015-05-14"
"Effingham-IL","286","0","2015-05-14"
"Macomb-IL","287","0","2015-05-14"
"CerroGordo-IL","289","0","2015-05-14"
"Shipman-IL","290","0","2015-05-14"
"FtBranch-IN","293","0","2015-05-14"
"Perrysville-IN","294","0","2015-05-14"
"Austin-IN","297","0","2015-05-14"
"Demotte-IN","300","0","2015-05-14"
"Franklin-IN","304","0","2015-05-14"
"Hiawatha-KS","273","2","2015-05-16"
"Pella-IA","278","2","2015-05-16"
"Blencoe-IA","229","3","2015-05-17"
"Farmersburg-IN","296","3","2015-05-17"
"Holdrege-NE","219","4","2015-05-18"
"Worthington-MN","230","4","2015-05-18"
"Wakefield","249","4","2015-05-18"
"Albion","253","4","2015-05-18"
"Arcadia-IA","274","4","2015-05-18"
"NorthBend","258","5","2015-05-19"
"Plainview","259","5","2015-05-19"
"Sanborn-MN","262","5","2015-05-19"
"Henderson-MN","263","5","2015-05-19"
"Truman-MN","268","5","2015-05-19"
"Janesville-WI","223","6","2015-05-20"
"Platteville-WI","224","6","2015-05-20"
"Vincent-IA","234","6","2015-05-20"
"Aurora","256","6","2015-05-20"
"Hayfield-MN","265","6","2015-05-20"
"Mitchell-SD","232","7","2015-05-21"
"Danube-MN","264","7","2015-05-21"
"BrownsValley-MN","244","9","2015-05-23"
"Santiago-MN","270","9","2015-05-23"
"North Platte-NE","220","10","2015-05-24"
"FergusFalls-MN","247","10","2015-05-24"
"Westport-MN","260","10","2015-05-24"
"Faulkton-SD","312","10","2015-05-24"
"Pierre-SD","317","10","2015-05-24"
"Menomonie-WI","221","11","2015-05-25"
"Ulen-MN","245","11","2015-05-25"
"Creston-IA","279","11","2015-05-25"
"Almena-WI","222","12","2015-05-26"
"Pocahontas-IA","237","12","2015-05-26"
"Belgrade-MN","267","12","2015-05-26"
"Strasburg-ND","315","12","2015-05-26"
"BeaverDam-WI","225","13","2015-05-27"
"Britt-IA","236","13","2015-05-27"
"Holloway-MN","269","13","2015-05-27"
"Watertown-SD","231","15","2015-05-29"
