"name","fieldID","dayTill","Imaging-Date"
"FtBranch-IN","293","22","2015-06-16"
"Springfield-IL","283","22","2015-06-16"
"Trenton-IL","285","23","2015-06-17"
"Shipman-IL","290","23","2015-06-17"
"CerroGordo-IL","289","24","2015-06-18"
"Joe-40","667","24","2015-06-18"
"Sittie","1632","24","2015-06-18"
"#1","1645","24","2015-06-18"
"Kilbourne-IL","282","24","2015-06-18"
"NE 15-27-24 #9","1627","24","2015-06-18"
"BowlingGreen-MO","272","25","2015-06-19"
"#19B","1638","25","2015-06-19"
"Drew House","334","25","2015-06-19"
"Home","599","25","2015-06-19"
"Macomb-IL","287","25","2015-06-19"
"Mike's","635","25","2015-06-19"
"E 14-27-24 #11","1626","25","2015-06-19"
"#2G","1639","25","2015-06-19"
"Field 1 ","326","26","2015-06-20"
"Philo-IL","284","26","2015-06-20"
"Effingham-IL","286","26","2015-06-20"
"Jim Home North","591","26","2015-06-20"
"Jim Home South","592","26","2015-06-20"
"Jim Home North","595","26","2015-06-20"
"#21","1642","26","2015-06-20"
"#21","1643","26","2015-06-20"
"#21","1644","26","2015-06-20"
"#11","1646","26","2015-06-20"
"Austin-IN","297","26","2015-06-20"
"Franklin-IN","304","26","2015-06-20"
"Don's","661","26","2015-06-20"
"K-State West","331","26","2015-06-20"
"K State West","333","26","2015-06-20"
"Perrysville-IN","294","26","2015-06-20"
"Patterson Ranch- South Bottom","336","26","2015-06-20"
"Jim North","593","26","2015-06-20"
"Esther East","594","26","2015-06-20"
"HQ - NE","1011","27","2015-06-21"
"Barrett 40","1021","27","2015-06-21"
"Farmers Drive","1023","27","2015-06-21"
"Erling","1007","27","2015-06-21"
"Irwin","653","27","2015-06-21"
"N. Doran","1633","27","2015-06-21"
"S. Doran","1634","27","2015-06-21"
"Mudd Creek corn 2015","986","27","2015-06-21"
"Farmersburg-IN","296","28","2015-06-22"
"Bishop","651","28","2015-06-22"
"S Bottom 158","1014","28","2015-06-22"
"Hibbard North","1015","28","2015-06-22"
"SAX-2010","1016","28","2015-06-22"
"3218-BAUM","438","28","2015-06-22"
"Kyle's","614","28","2015-06-22"
"Leroy/Hamann","658","28","2015-06-22"
"Kreiger","678","28","2015-06-22"
"The 90","652","28","2015-06-22"
"Tom Wilson","1630","28","2015-06-22"
"Houston","1631","28","2015-06-22"
"2092-BAILEY WEST","388","28","2015-06-22"
"3208-STOOKEY","395","28","2015-06-22"
"3250-BAILEY HOME","396","28","2015-06-22"
"3249-POLK WEBSTER","479","28","2015-06-22"
"E Hammonds 92","1012","29","2015-06-23"
"S Hoopers 123","1013","29","2015-06-23"
"DOR-1","1022","29","2015-06-23"
"Home","655","29","2015-06-23"
"Home","634","29","2015-06-23"
"Waco-NE","251","29","2015-06-23"
"Richland-IA","277","29","2015-06-23"
"Hall","1024","29","2015-06-23"
"#7","1641","29","2015-06-23"
"Graves","664","29","2015-06-23"
"Hiawatha-KS","273","29","2015-06-23"
"N-120","611","29","2015-06-23"
"Blue Grass","645","29","2015-06-23"
"Allen's","654","30","2015-06-24"
"Irwins","662","30","2015-06-24"
"Dorchester-NE","255","30","2015-06-24"
"Home","608","30","2015-06-24"
"Rock","1001","30","2015-06-24"
"Oaks","663","30","2015-06-24"
"Demotte-IN","300","30","2015-06-24"
"Lee","998","30","2015-06-24"
"Block","600","30","2015-06-24"
"Home","612","30","2015-06-24"
"Hoke","648","30","2015-06-24"
"Gordon","633","30","2015-06-24"
"Stanwood-IA","281","30","2015-06-24"
"Home","604","31","2015-06-25"
"Jansen","668","31","2015-06-25"
"Lee's South","656","31","2015-06-25"
"Schmalz","598","31","2015-06-25"
"N-80","620","31","2015-06-25"
"George's","619","31","2015-06-25"
"Swedsbung","666","31","2015-06-25"
"Bachus","641","31","2015-06-25"
"Meyer","646","31","2015-06-25"
"Tucker corn 2015","988","31","2015-06-25"
"2131-BURBRINK","365","31","2015-06-25"
"2132-ROWLAND","491","31","2015-06-25"
"Lowden","601","32","2015-06-26"
"Baustian","613","32","2015-06-26"
"South Corn","580","32","2015-06-26"
"Home/Jansen","615","32","2015-06-26"
"Home","997","32","2015-06-26"
"Jason Spain","1000","32","2015-06-26"
"Dads","1002","32","2015-06-26"
"Frye","617","32","2015-06-26"
"Emery","609","32","2015-06-26"
"Reeds","610","32","2015-06-26"
"Barber","1004","32","2015-06-26"
"Elvira","650","32","2015-06-26"
"Home","1008","32","2015-06-26"
"SiouxCenter-IA","233","32","2015-06-26"
"KTNW & KTNE","636","32","2015-06-26"
"Pella-IA","278","32","2015-06-26"
"Stevenson corn 2015","990","32","2015-06-26"
"Home","618","32","2015-06-26"
"Wisconsin","616","32","2015-06-26"
"2091-BAILEY","363","32","2015-06-26"
"Aurora","256","33","2015-06-27"
"Blencoe-IA","229","33","2015-06-27"
"North Field","579","33","2015-06-27"
"Peterson","585","33","2015-06-27"
"Chubbies","996","33","2015-06-27"
"Banowetz South","602","33","2015-06-27"
"Doyle","603","33","2015-06-27"
"Curtis","605","33","2015-06-27"
"Frank's","657","33","2015-06-27"
"Hofer","607","33","2015-06-27"
"Pithan East","999","33","2015-06-27"
"Lone Tree 9","587","33","2015-06-27"
"Westcott/Rebuhn","586","33","2015-06-27"
"Holdrege-NE","219","34","2015-06-28"
"NorthBend","258","34","2015-06-28"
"Betty's","625","34","2015-06-28"
"Robert Grossman","628","34","2015-06-28"
"W-150","597","34","2015-06-28"
"Joice","640","34","2015-06-28"
"Larry Jr. Farm","632","34","2015-06-28"
"Hoover/Wagner North","584","34","2015-06-28"
"Wakefield","249","35","2015-06-29"
"Albion","253","35","2015-06-29"
"Larry Jr. corn 2015","1010","35","2015-06-29"
"Pitts 5","582","35","2015-06-29"
"Pitts 5","583","35","2015-06-29"
"Worthington-MN","230","36","2015-06-30"
"Spider Ag Cover Crop/Quick Roots Trial","332","36","2015-06-30"
"Mitchell-SD","232","36","2015-06-30"
"Humboldt Farm","354","36","2015-06-30"
"Apple Field 1","679","36","2015-06-30"
"Apple Field 2","680","36","2015-06-30"
"Arcadia-IA","274","36","2015-06-30"
"Platteville-WI","224","36","2015-06-30"
