"name","fieldID","dayTill","Imaging-Date"
"FtBranch-IN","293","37","2015-07-01"
"Trenton-IL","285","38","2015-07-02"
"Springfield-IL","283","38","2015-07-02"
"Sittie","1632","39","2015-07-03"
"Shipman-IL","290","39","2015-07-03"
"NE 15-27-24 #9","1627","39","2015-07-03"
"CerroGordo-IL","289","40","2015-07-04"
"BowlingGreen-MO","272","40","2015-07-04"
"#19B","1638","40","2015-07-04"
"#1","1645","40","2015-07-04"
"Kilbourne-IL","282","40","2015-07-04"
"E 14-27-24 #11","1626","40","2015-07-04"
"#2G","1639","40","2015-07-04"
"Effingham-IL","286","41","2015-07-05"
"Joe-40","667","41","2015-07-05"
"#21","1642","41","2015-07-05"
"#21","1643","41","2015-07-05"
"#21","1644","41","2015-07-05"
"#11","1646","41","2015-07-05"
"Macomb-IL","287","41","2015-07-05"
"K-State West","331","41","2015-07-05"
"K State West","333","41","2015-07-05"
"Mike's","635","41","2015-07-05"
"Philo-IL","284","42","2015-07-06"
"HQ - NE","1011","42","2015-07-06"
"Jim Home North","591","42","2015-07-06"
"Jim Home South","592","42","2015-07-06"
"Jim Home North","595","42","2015-07-06"
"Franklin-IN","304","42","2015-07-06"
"Drew House","334","42","2015-07-06"
"Home","599","42","2015-07-06"
"N. Doran","1633","42","2015-07-06"
"S. Doran","1634","42","2015-07-06"
"Patterson Ranch- South Bottom","336","42","2015-07-06"
"Jim North","593","42","2015-07-06"
"Esther East","594","42","2015-07-06"
"Barrett 40","1021","43","2015-07-07"
"Farmers Drive","1023","43","2015-07-07"
"Farmersburg-IN","296","43","2015-07-07"
"Austin-IN","297","43","2015-07-07"
"Don's","661","43","2015-07-07"
"Perrysville-IN","294","43","2015-07-07"
"S Bottom 158","1014","43","2015-07-07"
"Hibbard North","1015","43","2015-07-07"
"Houston","1631","43","2015-07-07"
"Field 1 ","326","44","2015-07-08"
"E Hammonds 92","1012","44","2015-07-08"
"S Hoopers 123","1013","44","2015-07-08"
"Hall","1024","44","2015-07-08"
"#7","1641","44","2015-07-08"
"Erling","1007","44","2015-07-08"
"Bishop","651","44","2015-07-08"
"Irwin","653","44","2015-07-08"
"Hiawatha-KS","273","44","2015-07-08"
"SAX-2010","1016","44","2015-07-08"
"Kyle's","614","44","2015-07-08"
"Kreiger","678","44","2015-07-08"
"The 90","652","44","2015-07-08"
"Tom Wilson","1630","44","2015-07-08"
"Mudd Creek corn 2015","986","44","2015-07-08"
"DOR-1","1022","45","2015-07-09"
