"Field Name","Field ID","Plant Date","Days from Plant to Imaging Period","Days from Current Day until Imaging event","Predicted Date of Imaing Event","Imaging Event Name"
"Risco-MO","310","2015-04-11","33","7","2015-05-14","Second Vegetative"
"WamegoIRR-KS","271","2015-04-15","39","17","2015-05-24","Second Vegetative"
"WalnutRidge-AR","311","2015-04-23","31","17","2015-05-24","Second Vegetative"
"Springfield-IL","283","2015-04-14","41","18","2015-05-25","Second Vegetative"
"Waco-NE","251","2015-04-16","40","19","2015-05-26","Second Vegetative"
"Kilbourne-IL","282","2015-04-15","41","19","2015-05-26","Second Vegetative"
"Macomb-IL","287","2015-04-16","40","19","2015-05-26","Second Vegetative"
"Jackson-TN","308","2015-05-01","27","21","2015-05-28","Second Vegetative"
"Dorchester-NE","255","2015-04-22","37","22","2015-05-29","Second Vegetative"
"Stanwood-IA","281","2015-04-16","43","22","2015-05-29","Second Vegetative"
"SiouxCenter-IA","233","2015-04-17","43","23","2015-05-30","Second Vegetative"
"Richland-IA","277","2015-04-17","43","23","2015-05-30","Second Vegetative"
"Trenton-IL","285","2015-04-29","31","23","2015-05-30","Second Vegetative"
"CerroGordo-IL","289","2015-04-23","37","23","2015-05-30","Second Vegetative"
"Shipman-IL","290","2015-04-28","32","23","2015-05-30","Second Vegetative"
"BowlingGreen-MO","272","2015-04-28","33","24","2015-05-31","Second Vegetative"
"Hiawatha-KS","273","2015-05-01","31","25","2015-06-01","Second Vegetative"
"Philo-IL","284","2015-04-30","32","25","2015-06-01","Second Vegetative"
"Holdrege-NE","219","2015-04-28","35","26","2015-06-02","Second Vegetative"
"Blencoe-IA","229","2015-04-27","36","26","2015-06-02","Second Vegetative"
"Albion","253","2015-04-27","36","26","2015-06-02","Second Vegetative"
"Aurora","256","2015-05-01","33","27","2015-06-03","Second Vegetative"
"NorthBend","258","2015-04-30","34","27","2015-06-03","Second Vegetative"
"Elgin-MN","261","2015-04-17","47","27","2015-06-03","Second Vegetative"
"Wakefield","249","2015-04-29","36","28","2015-06-04","Second Vegetative"
"Plainview","259","2015-04-29","36","28","2015-06-04","Second Vegetative"
"Pella-IA","278","2015-04-30","35","28","2015-06-04","Second Vegetative"
"Worthington-MN","230","2015-04-23","43","29","2015-06-05","Second Vegetative"
"North Platte-NE","220","2015-05-01","36","30","2015-06-06","Second Vegetative"
"Janesville-WI","223","2015-04-29","38","30","2015-06-06","Second Vegetative"
"Truman-MN","268","2015-04-28","39","30","2015-06-06","Second Vegetative"
"Arcadia-IA","274","2015-04-29","38","30","2015-06-06","Second Vegetative"
"Sanborn-MN","262","2015-04-27","41","31","2015-06-07","Second Vegetative"
"Henderson-MN","263","2015-04-23","45","31","2015-06-07","Second Vegetative"
"Hayfield-MN","265","2015-04-28","40","31","2015-06-07","Second Vegetative"
"Menomonie-WI","221","2015-04-30","40","33","2015-06-09","Second Vegetative"
"","","","","","",""
"Rogers-TX","226","2015-03-28","40","0","2015-05-07","Third Vegetative"
"Danevang-TX","228","2015-04-07","34","4","2015-05-11","Third Vegetative"
"Jones-LA","227","2015-03-30","44","6","2015-05-13","Third Vegetative"
"Marianna-AR","307","2015-03-31","49","12","2015-05-19","Third Vegetative"
"Risco-MO","310","2015-04-11","48","22","2015-05-29","Third Vegetative"
"WalnutRidge-AR","311","2015-04-23","43","29","2015-06-05","Third Vegetative"
"WamegoIRR-KS","271","2015-04-15","53","31","2015-06-07","Third Vegetative"
"Springfield-IL","283","2015-04-14","55","32","2015-06-08","Third Vegetative"
"Jackson-TN","308","2015-05-01","38","32","2015-06-08","Third Vegetative"
"Kilbourne-IL","282","2015-04-15","56","34","2015-06-10","Third Vegetative"
"Macomb-IL","287","2015-04-16","55","34","2015-06-10","Third Vegetative"
"Waco-NE","251","2015-04-16","56","35","2015-06-11","Third Vegetative"
"Trenton-IL","285","2015-04-29","44","36","2015-06-12","Third Vegetative"
"Dorchester-NE","255","2015-04-22","52","37","2015-06-13","Third Vegetative"
"CerroGordo-IL","289","2015-04-23","51","37","2015-06-13","Third Vegetative"
"Shipman-IL","290","2015-04-28","46","37","2015-06-13","Third Vegetative"
"BowlingGreen-MO","272","2015-04-28","47","38","2015-06-14","Third Vegetative"
"Richland-IA","277","2015-04-17","58","38","2015-06-14","Third Vegetative"
"Hiawatha-KS","273","2015-05-01","45","39","2015-06-15","Third Vegetative"
"Stanwood-IA","281","2015-04-16","60","39","2015-06-15","Third Vegetative"
"Philo-IL","284","2015-04-30","47","40","2015-06-16","Third Vegetative"
"Holdrege-NE","219","2015-04-28","50","41","2015-06-17","Third Vegetative"
"SiouxCenter-IA","233","2015-04-17","61","41","2015-06-17","Third Vegetative"
"Blencoe-IA","229","2015-04-27","52","42","2015-06-18","Third Vegetative"
"Albion","253","2015-04-27","52","42","2015-06-18","Third Vegetative"
"Aurora","256","2015-05-01","48","42","2015-06-18","Third Vegetative"
"NorthBend","258","2015-04-30","49","42","2015-06-18","Third Vegetative"
"Pella-IA","278","2015-04-30","50","43","2015-06-19","Third Vegetative"
"Wakefield","249","2015-04-29","52","44","2015-06-20","Third Vegetative"
"Plainview","259","2015-04-29","52","44","2015-06-20","Third Vegetative"
"North Platte-NE","220","2015-05-01","51","45","2015-06-21","Third Vegetative"
"Elgin-MN","261","2015-04-17","65","45","2015-06-21","Third Vegetative"
"Janesville-WI","223","2015-04-29","54","46","2015-06-22","Third Vegetative"
"Worthington-MN","230","2015-04-23","60","46","2015-06-22","Third Vegetative"
