"name","fieldID","dayTill","Imaging-Date"
"Springfield-IL","283","23","2015-06-05"
"Kilbourne-IL","282","24","2015-06-06"
"Macomb-IL","287","26","2015-06-08"
"FtBranch-IN","293","26","2015-06-08"
"Trenton-IL","285","27","2015-06-09"
"CerroGordo-IL","289","28","2015-06-10"
"Shipman-IL","290","28","2015-06-10"
"BowlingGreen-MO","272","29","2015-06-11"
"Richland-IA","277","29","2015-06-11"
"2084-SMITH","433","29","2015-06-11"
"2084S-DEETER","497","29","2015-06-11"
"Philo-IL","284","30","2015-06-12"
"2105-MORGAN","372","30","2015-06-12"
"2096-WILLIAMS","391","30","2015-06-12"
"2098-AIRPORT NORTH","462","30","2015-06-12"
"2095-AIRPORT WILLIAMS","489","30","2015-06-12"
"Waco-NE","251","31","2015-06-13"
"Stanwood-IA","281","31","2015-06-13"
"Effingham-IL","286","31","2015-06-13"
"Austin-IN","297","31","2015-06-13"
"Franklin-IN","304","31","2015-06-13"
"2117-NEFF SYRACUSE","368","31","2015-06-13"
"2092-BAILEY WEST","388","31","2015-06-13"
"3208-STOOKEY","395","31","2015-06-13"
"3250-BAILEY HOME","396","31","2015-06-13"
"2109-FISHER GRAVEL PIT","397","31","2015-06-13"
"3218-BAUM","438","31","2015-06-13"
"2110-FISHER SYRACUSE","446","31","2015-06-13"
"3249-POLK WEBSTER","479","31","2015-06-13"
"Farmersburg-IN","296","32","2015-06-14"
"Dorchester-NE","255","33","2015-06-15"
"Hiawatha-KS","273","33","2015-06-15"
"2101-FISHER CLAY","366","34","2015-06-16"
"2087-TOM N","385","34","2015-06-16"
"2108-FISHER DEWART LAKE","448","34","2015-06-16"
"SiouxCenter-IA","233","35","2015-06-17"
"Pella-IA","278","35","2015-06-17"
"2120-POLK VANDERMARK","356","35","2015-06-17"
"2091-BAILEY","363","35","2015-06-17"
"2131-BURBRINK","365","35","2015-06-17"
"2124-FISHER DL WEST","379","35","2015-06-17"
"2118-BENDINA NORTH","392","35","2015-06-17"
"2128-MARTINWOOD","405","35","2015-06-17"
"2099-MARTIN DUTCHTOWN","452","35","2015-06-17"
"2100-FISHER MUCK","477","35","2015-06-17"
"2132-ROWLAND","491","35","2015-06-17"
"Blencoe-IA","229","36","2015-06-18"
"2127-MARTINWOOD","357","36","2015-06-18"
"2082-NUSSBAUM","414","36","2015-06-18"
"Holdrege-NE","219","37","2015-06-19"
"Aurora","256","37","2015-06-19"
"NorthBend","258","37","2015-06-19"
"Wakefield","249","38","2015-06-20"
"Albion","253","38","2015-06-20"
"Platteville-WI","224","39","2015-06-21"
"Elgin-MN","261","39","2015-06-21"
"Arcadia-IA","274","39","2015-06-21"
"Janesville-WI","223","40","2015-06-22"
"Vincent-IA","234","40","2015-06-22"
"Plainview","259","40","2015-06-22"
"Worthington-MN","230","41","2015-06-23"
"Truman-MN","268","41","2015-06-23"
"Creston-IA","279","41","2015-06-23"
"North Platte-NE","220","42","2015-06-24"
"Mitchell-SD","232","42","2015-06-24"
"Sanborn-MN","262","42","2015-06-24"
"Henderson-MN","263","42","2015-06-24"
"Hayfield-MN","265","42","2015-06-24"
"Pocahontas-IA","237","44","2015-06-26"
"Menomonie-WI","221","45","2015-06-27"
"Britt-IA","236","45","2015-06-27"
"BeaverDam-WI","225","46","2015-06-28"
"BrownsValley-MN","244","47","2015-06-29"
"FergusFalls-MN","247","47","2015-06-29"
"Almena-WI","222","49","2015-07-01"
"Ulen-MN","245","49","2015-07-01"
"Watertown-SD","231","50","2015-07-02"
