"name","fieldID","dayTill","Imaging-Date"
"Springfield-IL","283","38","2015-07-01"
"Trenton-IL","285","38","2015-07-01"
"FtBranch-IN","293","38","2015-07-01"
"Shipman-IL","290","39","2015-07-02"
"Kilbourne-IL","282","40","2015-07-03"
"CerroGordo-IL","289","40","2015-07-03"
"BowlingGreen-MO","272","41","2015-07-04"
"Macomb-IL","287","41","2015-07-04"
"Effingham-IL","286","42","2015-07-05"
"K-State West","331","42","2015-07-05"
"K State West","333","42","2015-07-05"
"Drew House","334","42","2015-07-05"
"Philo-IL","284","43","2015-07-06"
"Perrysville-IN","294","43","2015-07-06"
"Austin-IN","297","43","2015-07-06"
"Franklin-IN","304","43","2015-07-06"
"Patterson Ranch- South Bottom","336","43","2015-07-06"
"Farmersburg-IN","296","44","2015-07-07"
"Field 1 ","326","44","2015-07-07"
"Hiawatha-KS","273","45","2015-07-08"
"Richland-IA","277","46","2015-07-09"
"2092-BAILEY WEST","388","46","2015-07-09"
"3208-STOOKEY","395","46","2015-07-09"
"3250-BAILEY HOME","396","46","2015-07-09"
"3218-BAUM","438","46","2015-07-09"
"3249-POLK WEBSTER","479","46","2015-07-09"
"Waco-NE","251","47","2015-07-10"
"Dorchester-NE","255","47","2015-07-10"
"Stanwood-IA","281","47","2015-07-10"
"Pella-IA","278","48","2015-07-11"
"Demotte-IN","300","48","2015-07-11"
"2132-ROWLAND","491","48","2015-07-11"
"South Corn","580","48","2015-07-11"
"2091-BAILEY","363","49","2015-07-12"
"2131-BURBRINK","365","49","2015-07-12"
"North Field","579","49","2015-07-12"
"Blencoe-IA","229","50","2015-07-13"
"Aurora","256","50","2015-07-13"
"Holdrege-NE","219","51","2015-07-14"
"NorthBend","258","51","2015-07-14"
"SiouxCenter-IA","233","52","2015-07-15"
"Albion","253","52","2015-07-15"
"Spider Ag Cover Crop/Quick Roots Trial","332","52","2015-07-15"
"Platteville-WI","224","53","2015-07-16"
"Wakefield","249","53","2015-07-16"
"Arcadia-IA","274","53","2015-07-16"
"Westcott/Rebuhn","586","53","2015-07-16"
"Janesville-WI","223","54","2015-07-17"
"Plainview","259","54","2015-07-17"
"Creston-IA","279","54","2015-07-17"
"Osco-IL","288","54","2015-07-17"
"House","327","54","2015-07-17"
"K-State East","330","54","2015-07-17"
"The 80","339","54","2015-07-17"
"Humboldt Farm","354","54","2015-07-17"
"Hoover/Wagner North","584","54","2015-07-17"
"Peterson","585","54","2015-07-17"
"Lone Tree 9","587","54","2015-07-17"
"Mitchell-SD","232","55","2015-07-18"
"Vincent-IA","234","55","2015-07-18"
"Home Place","338","55","2015-07-18"
"Kennings","341","55","2015-07-18"
"Kings","344","55","2015-07-18"
"Hartje NE","588","55","2015-07-18"
"Hartje NW","589","55","2015-07-18"
"Hartje West","590","55","2015-07-18"
"North Platte-NE","220","56","2015-07-19"
"Elgin-MN","261","56","2015-07-19"
"Truman-MN","268","56","2015-07-19"
"Lafayette-IN","301","56","2015-07-19"
"Pitts 5","582","56","2015-07-19"
"Pitts 5","583","56","2015-07-19"
"Worthington-MN","230","57","2015-07-20"
"Sanborn-MN","262","57","2015-07-20"
"Henderson-MN","263","57","2015-07-20"
"Pocahontas-IA","237","58","2015-07-21"
"Hayfield-MN","265","58","2015-07-21"
"Britt-IA","236","59","2015-07-22"
"Danube-MN","264","59","2015-07-22"
"Manchester-IA","280","59","2015-07-22"
"TroyGrove-IL","291","59","2015-07-22"
"BeaverDam-WI","225","60","2015-07-23"
"CharlesCity-IA","275","60","2015-07-23"
"Pierre-SD","317","60","2015-07-23"
"Precision Ag - Innovation","320","60","2015-07-23"
"Agronomy - SW1","322","60","2015-07-23"
"Agronomy - SW3","323","60","2015-07-23"
"Across from Bins","569","60","2015-07-23"
"Across Road from Bins","570","60","2015-07-23"
"Agronomy SW4N","573","60","2015-07-23"
"Agronomy - NE7","578","60","2015-07-23"
"BrownsValley-MN","244","61","2015-07-24"
"DeKalb-IL","292","61","2015-07-24"
"Faulkton-SD","312","61","2015-07-24"
"Agronomy - SW5","576","61","2015-07-24"
"Menomonie-WI","221","62","2015-07-25"
"FergusFalls-MN","247","62","2015-07-25"
"Ainsworth-NE","257","62","2015-07-25"
"Holloway-MN","269","62","2015-07-25"
"Santiago-MN","270","62","2015-07-25"
"Westport-MN","260","64","2015-07-27"
"Belgrade-MN","267","64","2015-07-27"
"Almena-WI","222","65","2015-07-28"
"Watertown-SD","231","65","2015-07-28"
"Ulen-MN","245","66","2015-07-29"
"Strasburg-ND","315","66","2015-07-29"
"Agronomy - SW4","321","66","2015-07-29"
